Gene	Cytoband	(A) Immunomodulatory	(B) Luminal Androgen Receptor	(A) Immunomodulatory	(B) Luminal Androgen Receptor	Log2 Ratio	p-Value	q-Value	Higher expression in
RCAN3AS	1p36.11	0.59	0.34	0.64	0.59	0.24	0.585	0.859	(A) Immunomodulatory
MRPL13	8q24.12	0.25	0.00	0.43	0.00	0.24	0.156	0.567	(A) Immunomodulatory
GRIN2A	16p13.2	0.76	0.51	0.95	0.40	0.24	0.563	0.849	(A) Immunomodulatory
ITM2A	Xq21.1	1.15	0.91	0.40	0.45	0.24	0.463	0.804	(A) Immunomodulatory
SLC16A1-AS1	1p13.2	0.26	0.02	0.51	0.03	0.24	0.221	0.631	(A) Immunomodulatory
EIF3A	10q26.11	0.31	0.06	0.37	0.10	0.24	0.127	0.523	(A) Immunomodulatory
ANKRD18CP	9q22.33	0.32	0.08	0.54	0.14	0.24	0.338	0.732	(A) Immunomodulatory
ACBD6	1q25.2-q25.3	0.29	0.04	0.34	0.08	0.24	0.0896	0.484	(A) Immunomodulatory
LY6G6C	6p21.33	0.32	0.08	0.71	0.13	0.24	0.495	0.818	(A) Immunomodulatory
HES1	3q29	0.41	0.16	0.67	0.28	0.24	0.420	0.778	(A) Immunomodulatory
GHDC	17q21.2	0.31	0.07	0.36	0.12	0.24	0.129	0.526	(A) Immunomodulatory
ENO1-AS1	1p36.23	0.39	0.14	0.49	0.25	0.24	0.335	0.730	(A) Immunomodulatory
TAGAP	6q25.3	1.07	0.83	0.42	0.73	0.24	0.632	0.880	(A) Immunomodulatory
TDP1	14q32.11	0.32	0.07	0.25	0.13	0.24	0.0683	0.465	(A) Immunomodulatory
SBNO1	12q24.31	0.28	0.04	0.31	0.06	0.24	0.0650	0.461	(A) Immunomodulatory
ZNG1E	9q21.11	0.38	0.13	0.36	0.23	0.24	0.237	0.646	(A) Immunomodulatory
LINC01695	21q21.3	0.68	0.44	0.79	0.62	0.24	0.696	0.903	(A) Immunomodulatory
SAYSD1	6p21.2	0.28	0.03	0.31	0.06	0.24	0.0684	0.465	(A) Immunomodulatory
ZDHHC2	8p22	0.63	0.39	0.43	0.58	0.24	0.560	0.848	(A) Immunomodulatory
MILR1	17q23.3	0.52	0.27	0.44	0.37	0.24	0.403	0.768	(A) Immunomodulatory
DIPK1C	18q22.3	1.02	0.78	1.09	1.35	0.24	0.800	0.939	(A) Immunomodulatory
DNTTIP2	1p22.1	0.36	0.12	0.29	0.21	0.24	0.183	0.593	(A) Immunomodulatory
CEP152	15q21.1	0.30	0.05	0.30	0.09	0.24	0.0704	0.468	(A) Immunomodulatory
CYS1	2p25.1	0.31	0.06	0.29	0.11	0.24	0.0765	0.475	(A) Immunomodulatory
BOLA2-SMG1P6	16p11.2	0.44	0.20	0.51	0.19	0.24	0.280	0.684	(A) Immunomodulatory
WNT2	7q31.2	0.62	0.38	0.56	0.38	0.24	0.447	0.794	(A) Immunomodulatory
GPR18	13q32.3	1.23	0.99	0.44	0.86	0.24	0.680	0.897	(A) Immunomodulatory
THBS2	6q27	0.28	0.04	0.42	0.06	0.24	0.151	0.562	(A) Immunomodulatory
SRP68	17q25.1	0.28	0.04	0.35	0.04	0.24	0.0942	0.486	(A) Immunomodulatory
BRMS1L	14q13.2	0.26	0.01	0.26	0.02	0.24	0.0364	0.429	(A) Immunomodulatory
TNFAIP3	6q23.3	0.88	0.64	0.53	0.60	0.24	0.580	0.858	(A) Immunomodulatory
ENO1	1p36.23	0.27	0.03	0.43	0.04	0.24	0.155	0.566	(A) Immunomodulatory
PLEK	2p14	0.97	0.73	0.51	0.61	0.24	0.584	0.858	(A) Immunomodulatory
TNNT3	11p15.5	1.04	0.80	0.74	0.76	0.24	0.665	0.892	(A) Immunomodulatory
INTS6-AS1	13q14.3	0.41	0.17	0.38	0.16	0.24	0.173	0.586	(A) Immunomodulatory
HNRNPH3	10q21.3	0.27	0.03	0.30	0.05	0.24	0.0571	0.450	(A) Immunomodulatory
TTC39C	18q11.2	0.52	0.28	0.30	0.11	0.24	0.0809	0.478	(A) Immunomodulatory
CCDC12	3p21.31	0.43	0.19	0.30	0.17	0.24	0.140	0.544	(A) Immunomodulatory
HLA-C	6p21.33	0.34	0.10	0.58	0.18	0.24	0.324	0.721	(A) Immunomodulatory
STEAP1B	7p15.3	0.26	0.02	0.43	0.03	0.24	0.156	0.567	(A) Immunomodulatory
HIRIP3	16p11.2	0.27	0.03	0.30	0.06	0.24	0.0625	0.454	(A) Immunomodulatory
SMARCB1	22q11.23	0.27	0.03	0.38	0.05	0.24	0.116	0.507	(A) Immunomodulatory
PHKA1	Xq13.1	0.24	0.00	0.40	0.00	0.24	0.134	0.535	(A) Immunomodulatory
PAM16	16p13.3	0.34	0.10	0.58	0.17	0.24	0.316	0.715	(A) Immunomodulatory
CTU2	16q24.3	0.24	0.00	0.28	0.00	0.24	0.0462	0.437	(A) Immunomodulatory
LINC01978	17q25.3	0.33	0.09	0.51	0.16	0.24	0.331	0.726	(A) Immunomodulatory
LANCL3	Xp21.1	0.43	0.19	0.51	0.33	0.24	0.391	0.759	(A) Immunomodulatory
LINC01719	1q21.1	0.62	0.38	0.50	0.66	0.24	0.616	0.873	(A) Immunomodulatory
NELFA	4p16.3	0.25	0.00	0.47	0.01	0.24	0.190	0.600	(A) Immunomodulatory
TASL	Xp21.2	1.05	0.81	0.55	0.74	0.24	0.646	0.885	(A) Immunomodulatory
RILPL2	12q24.31	0.59	0.35	0.33	0.34	0.24	0.354	0.737	(A) Immunomodulatory
SPATA25	20q13.12	0.32	0.08	0.47	0.14	0.24	0.229	0.637	(A) Immunomodulatory
GTF2H1	11p15.1	0.34	0.10	0.44	0.11	0.24	0.183	0.593	(A) Immunomodulatory
ASGR1	17p13.1	0.31	0.07	0.35	0.12	0.24	0.124	0.521	(A) Immunomodulatory
ZNF438	10p11.23	0.32	0.08	0.28	0.13	0.24	0.0899	0.484	(A) Immunomodulatory
TMEM140	7q33	0.55	0.31	0.35	0.45	0.24	0.468	0.806	(A) Immunomodulatory
DSG3	18q12.1	0.53	0.29	1.01	0.51	0.24	0.619	0.874	(A) Immunomodulatory
DPY30	2p22.3	0.27	0.03	0.37	0.05	0.24	0.110	0.500	(A) Immunomodulatory
ELOB	16p13.3	0.33	0.09	0.47	0.15	0.24	0.236	0.645	(A) Immunomodulatory
STOX1	10q22.1	0.48	0.24	0.53	0.42	0.24	0.473	0.809	(A) Immunomodulatory
C17ORF100	17p13.1	0.41	0.17	0.37	0.30	0.24	0.319	0.718	(A) Immunomodulatory
PIDD1	11p15.5	0.32	0.08	0.42	0.09	0.24	0.165	0.578	(A) Immunomodulatory
FGF7P3	9p12	0.33	0.09	0.36	0.16	0.24	0.161	0.573	(A) Immunomodulatory
WDR54	2p13.1	0.41	0.17	0.33	0.30	0.24	0.310	0.709	(A) Immunomodulatory
KCTD12	13q22.3	0.40	0.17	0.45	0.17	0.24	0.229	0.637	(A) Immunomodulatory
ANGPT1	8q23.1	0.35	0.11	0.52	0.19	0.24	0.297	0.699	(A) Immunomodulatory
SYF2	1p36.11	0.35	0.12	0.26	0.13	0.24	0.0835	0.478	(A) Immunomodulatory
ADGRL2	1p31.1	0.39	0.15	0.35	0.26	0.24	0.277	0.682	(A) Immunomodulatory
C8ORF33	8q24.3	0.25	0.01	0.45	0.02	0.24	0.176	0.588	(A) Immunomodulatory
STYXL2	1q24.1	0.45	0.21	0.72	0.36	0.24	0.529	0.833	(A) Immunomodulatory
RAB7A	3q21.3	0.31	0.07	0.25	0.13	0.24	0.0738	0.472	(A) Immunomodulatory
EPC1	10p11.22	0.30	0.06	0.32	0.04	0.24	0.0737	0.472	(A) Immunomodulatory
ADORA2A	22q11.23	0.89	0.65	0.44	0.58	0.24	0.566	0.850	(A) Immunomodulatory
LOH12CR2	12p13.2	0.40	0.16	0.42	0.28	0.24	0.319	0.718	(A) Immunomodulatory
PSMA7	20q13.33	0.31	0.07	0.37	0.12	0.24	0.144	0.552	(A) Immunomodulatory
MATK	19p13.3	0.70	0.46	0.56	0.64	0.24	0.608	0.869	(A) Immunomodulatory
LINC01634	22q11.21	0.37	0.13	0.59	0.22	0.24	0.357	0.739	(A) Immunomodulatory
CYP11A1	15q24.1	0.61	0.37	0.46	0.64	0.24	0.600	0.866	(A) Immunomodulatory
NLRC5	16q13	0.81	0.57	0.44	0.50	0.24	0.520	0.828	(A) Immunomodulatory
GTPBP3	19p13.11	0.25	0.01	0.42	0.02	0.24	0.153	0.566	(A) Immunomodulatory
ACKR3	2q37.3	0.28	0.05	0.25	0.08	0.24	0.0387	0.429	(A) Immunomodulatory
CHCHD7	8q12.1	0.31	0.07	0.34	0.12	0.24	0.124	0.521	(A) Immunomodulatory
TNFAIP8L3	15q21.2	0.53	0.30	0.28	0.51	0.24	0.514	0.824	(A) Immunomodulatory
ADPGK-AS1	15q24.1	0.39	0.15	0.45	0.27	0.24	0.322	0.720	(A) Immunomodulatory
EDNRB-AS1	13q22.3	0.44	0.20	0.63	0.35	0.24	0.458	0.800	(A) Immunomodulatory
LINC01003	7q36.1	0.47	0.23	0.44	0.37	0.24	0.416	0.777	(A) Immunomodulatory
LRRC37A8P	17q12	0.27	0.03	0.31	0.06	0.24	0.0723	0.470	(A) Immunomodulatory
NCF4	22q12.3	0.80	0.56	0.46	0.71	0.24	0.631	0.880	(A) Immunomodulatory
IL10RA	11q23.3	0.97	0.73	0.48	0.66	0.24	0.612	0.871	(A) Immunomodulatory
COX17	3q13.33	0.35	0.12	0.32	0.20	0.24	0.197	0.608	(A) Immunomodulatory
BCCIP	10q26.2	0.30	0.06	0.39	0.11	0.24	0.154	0.566	(A) Immunomodulatory
ANAPC10	4q31.21	0.31	0.07	0.30	0.07	0.24	0.0676	0.464	(A) Immunomodulatory
SAP30BP	17q25.1	0.28	0.05	0.33	0.04	0.24	0.0863	0.481	(A) Immunomodulatory
TMEM183BP	3q25.1	0.35	0.12	0.39	0.20	0.24	0.229	0.637	(A) Immunomodulatory
PFKM	12q13.11	0.26	0.02	0.43	0.04	0.24	0.162	0.574	(A) Immunomodulatory
MYL12A	18p11.31	0.25	0.01	0.29	0.02	0.24	0.0571	0.450	(A) Immunomodulatory
COPS7A	12p13.31	0.24	0.00	0.44	0.01	0.24	0.174	0.587	(A) Immunomodulatory
TREX1	3p21.31	0.37	0.13	0.33	0.12	0.24	0.110	0.501	(A) Immunomodulatory
GPR89B	1q21.2	0.39	0.16	0.39	0.27	0.24	0.305	0.705	(A) Immunomodulatory
PARP14	3q21.1	0.57	0.33	0.44	0.38	0.24	0.423	0.778	(A) Immunomodulatory
CRYBG2	1p36.11	0.48	0.24	0.72	0.42	0.24	0.526	0.831	(A) Immunomodulatory
HAUS4	14q11.2	0.31	0.07	0.37	0.10	0.24	0.135	0.538	(A) Immunomodulatory
LTB	6p21.33	1.58	1.34	0.27	0.59	0.24	0.565	0.850	(A) Immunomodulatory
KNTC1	12q24.31	0.32	0.08	0.36	0.14	0.24	0.155	0.566	(A) Immunomodulatory
DMD	Xp21.2-p21.1	0.39	0.15	0.44	0.17	0.24	0.231	0.640	(A) Immunomodulatory
OR52N2	11p15.4	0.46	0.22	0.63	0.31	0.24	0.545	0.841	(A) Immunomodulatory
NELFE	6p21.33	0.30	0.06	0.30	0.11	0.24	0.0912	0.485	(A) Immunomodulatory
MADCAM1	19p13.3	0.57	0.34	0.90	0.58	0.24	0.652	0.887	(A) Immunomodulatory
PLPPR1	9q31.1	0.48	0.24	0.68	0.42	0.24	0.530	0.834	(A) Immunomodulatory
DERL3	22q11.23	1.24	1.00	0.65	0.19	0.24	0.379	0.750	(A) Immunomodulatory
REPS2	Xp22.2	0.30	0.07	0.47	0.12	0.24	0.228	0.636	(A) Immunomodulatory
MT2A	16q13	0.50	0.26	0.54	0.38	0.24	0.453	0.797	(A) Immunomodulatory
STAT2	12q13.3	0.35	0.11	0.36	0.14	0.24	0.152	0.564	(A) Immunomodulatory
FENDRR	16q24.1	0.79	0.56	0.84	0.75	0.23	0.700	0.904	(A) Immunomodulatory
CPSF3	2p25.1	0.27	0.04	0.43	0.07	0.23	0.172	0.585	(A) Immunomodulatory
CITED2	6q24.1	0.55	0.31	0.54	0.54	0.23	0.561	0.849	(A) Immunomodulatory
ANXA1	9q21.13	0.28	0.05	0.51	0.08	0.23	0.247	0.656	(A) Immunomodulatory
USP42	7p22.1	0.26	0.02	0.28	0.04	0.23	0.0525	0.446	(A) Immunomodulatory
TMCO6	5q31.3	0.24	0.01	0.35	0.02	0.23	0.0984	0.491	(A) Immunomodulatory
ST6GALNAC3	1p31.1	0.55	0.31	0.59	0.54	0.23	0.565	0.850	(A) Immunomodulatory
PBX1-AS1	1q23.3	0.27	0.04	0.31	0.06	0.23	0.224	0.633	(A) Immunomodulatory
NSMCE4A	10q26.13	0.37	0.13	0.34	0.19	0.23	0.198	0.610	(A) Immunomodulatory
NRL	14q11.2-q12	0.38	0.15	0.42	0.26	0.23	0.308	0.709	(A) Immunomodulatory
MAD1L1	7p22.3	0.24	0.00	0.28	0.01	0.23	0.0470	0.438	(A) Immunomodulatory
LTBP2	14q24.3	0.33	0.10	0.43	0.17	0.23	0.230	0.638	(A) Immunomodulatory
GH1	17q23.3	0.65	0.41	0.57	0.72	0.23	0.658	0.889	(A) Immunomodulatory
GNRH1	8p21.2	0.29	0.06	0.40	0.10	0.23	0.163	0.575	(A) Immunomodulatory
ZC3HAV1	7q34	0.34	0.11	0.31	0.10	0.23	0.0925	0.485	(A) Immunomodulatory
ATRX	Xq21.1	0.31	0.08	0.24	0.13	0.23	0.0753	0.474	(A) Immunomodulatory
MOCS3	20q13.13	0.30	0.07	0.36	0.11	0.23	0.136	0.539	(A) Immunomodulatory
CHRDL1	Xq23	0.78	0.55	0.57	0.66	0.23	0.624	0.876	(A) Immunomodulatory
CKMT2-AS1	5q14.1	0.32	0.09	0.33	0.11	0.23	0.109	0.499	(A) Immunomodulatory
RBPJ	4p15.2	0.38	0.15	0.31	0.19	0.23	0.178	0.589	(A) Immunomodulatory
TLR5	1q41	0.28	0.05	0.53	0.09	0.23	0.262	0.669	(A) Immunomodulatory
CDC37	19p13.2	0.24	0.00	0.24	0.00	0.23	0.0270	0.426	(A) Immunomodulatory
LRRC77P	3q26.1-q26.2	0.37	0.14	0.48	0.14	0.23	0.414	0.776	(A) Immunomodulatory
PYDC1	16p11.2	0.67	0.44	0.89	0.62	0.23	0.705	0.906	(A) Immunomodulatory
VSTM2A	7p11.2	1.64	1.40	1.88	1.99	0.23	0.907	0.970	(A) Immunomodulatory
TRAPPC2L	16q24.3	0.30	0.07	0.45	0.12	0.23	0.209	0.620	(A) Immunomodulatory
TULP1	6p21.31	0.24	0.01	0.24	0.02	0.23	0.0938	0.486	(A) Immunomodulatory
NUBP1	16p13.13	0.38	0.14	0.31	0.12	0.23	0.111	0.502	(A) Immunomodulatory
RPL13AP5	10q24.1	0.33	0.10	0.39	0.09	0.23	0.149	0.560	(A) Immunomodulatory
MTIF2	2p16.1	0.31	0.08	0.27	0.14	0.23	0.101	0.494	(A) Immunomodulatory
PSMD8	19q13.2	0.27	0.04	0.31	0.07	0.23	0.0781	0.478	(A) Immunomodulatory
TMEM242	6q25.3	0.34	0.11	0.41	0.11	0.23	0.177	0.588	(A) Immunomodulatory
GNG10	9q31.3	0.27	0.04	0.25	0.06	0.23	0.0410	0.430	(A) Immunomodulatory
SUDS3	12q24.23	0.23	0.00	0.25	0.00	0.23	0.0345	0.429	(A) Immunomodulatory
SLAIN1	13q22.3	0.63	0.39	0.54	0.35	0.23	0.438	0.789	(A) Immunomodulatory
TTF1	9q34.13	0.38	0.15	0.36	0.26	0.23	0.286	0.689	(A) Immunomodulatory
CDK11B	1p36.33	0.28	0.05	0.26	0.09	0.23	0.0530	0.446	(A) Immunomodulatory
VPS51	11q13.1	0.24	0.01	0.22	0.02	0.23	0.0223	0.414	(A) Immunomodulatory
CLEC4GP1	19p13.2	0.50	0.27	0.64	0.35	0.23	0.487	0.816	(A) Immunomodulatory
PLD5	1q43	0.51	0.28	0.72	0.40	0.23	0.594	0.863	(A) Immunomodulatory
P2RY8	Xp22.33 and Yp11.3	1.24	1.01	0.33	0.52	0.23	0.532	0.835	(A) Immunomodulatory
B4GAT1	11q13.2	0.34	0.11	0.34	0.18	0.23	0.192	0.602	(A) Immunomodulatory
C6ORF47	6p21.33	0.31	0.08	0.34	0.13	0.23	0.139	0.544	(A) Immunomodulatory
MYBL1	8q13.1	0.24	0.01	0.50	0.02	0.23	0.229	0.637	(A) Immunomodulatory
COL4A1	13q34	0.40	0.17	0.49	0.29	0.23	0.369	0.745	(A) Immunomodulatory
GGT5	22q11.23	0.39	0.16	0.47	0.28	0.23	0.359	0.740	(A) Immunomodulatory
SERTAD2	2p14	0.25	0.02	0.31	0.04	0.23	0.0760	0.474	(A) Immunomodulatory
TMEM35B	1p34.3	0.45	0.22	0.35	0.38	0.23	0.422	0.778	(A) Immunomodulatory
CDV3	3q22.1	0.35	0.12	0.34	0.15	0.23	0.160	0.572	(A) Immunomodulatory
SEMA4D	9q22.2	0.67	0.44	0.36	0.39	0.23	0.429	0.782	(A) Immunomodulatory
TPST2	22q12.1	0.56	0.33	0.45	0.29	0.23	0.361	0.742	(A) Immunomodulatory
STEEP1	Xq24	0.23	0.00	0.31	0.00	0.23	0.0734	0.471	(A) Immunomodulatory
SYTL3	6q25.3	0.58	0.35	0.32	0.24	0.23	0.258	0.665	(A) Immunomodulatory
DAPP1	4q23	0.73	0.50	0.43	0.06	0.23	0.176	0.588	(A) Immunomodulatory
SOAT2	12q13.13	0.40	0.17	0.53	0.30	0.23	0.391	0.759	(A) Immunomodulatory
LIX1L	1q21.1	0.34	0.11	0.30	0.18	0.23	0.170	0.585	(A) Immunomodulatory
PGM5	9q21.11	0.69	0.46	0.55	0.77	0.23	0.671	0.894	(A) Immunomodulatory
GPR183	13q32.3	1.23	1.00	0.67	0.85	0.23	0.700	0.904	(A) Immunomodulatory
CXCL6	4q13.3	0.81	0.58	0.77	0.52	0.23	0.591	0.862	(A) Immunomodulatory
EEF1B2	2q33.3	0.32	0.09	0.40	0.12	0.23	0.181	0.591	(A) Immunomodulatory
KCNMB2	3q26.32	0.65	0.42	0.72	0.59	0.23	0.687	0.900	(A) Immunomodulatory
PSMD10	Xq22.3	0.33	0.10	0.38	0.18	0.23	0.210	0.621	(A) Immunomodulatory
NDUFS5	1p34.3	0.48	0.25	0.53	0.31	0.23	0.403	0.768	(A) Immunomodulatory
PPP1R2B	5q33.3	0.36	0.13	0.42	0.23	0.23	0.287	0.689	(A) Immunomodulatory
RPL35	9q33.3	0.35	0.12	0.38	0.21	0.23	0.241	0.650	(A) Immunomodulatory
SYT14P1	4q13.2	0.72	0.49	1.01	0.15	0.23	0.803	0.940	(A) Immunomodulatory
MCRIP2	16p13.3	0.36	0.13	0.46	0.23	0.23	0.304	0.705	(A) Immunomodulatory
GIMAP6	7q36.1	0.76	0.53	0.46	0.46	0.23	0.505	0.821	(A) Immunomodulatory
HOTS	11p15.5	0.37	0.14	0.54	0.24	0.23	0.356	0.738	(A) Immunomodulatory
CASP3	4q35.1	0.46	0.23	0.37	0.40	0.23	0.441	0.791	(A) Immunomodulatory
UPF3A	13q34	0.23	0.00	0.42	0.01	0.23	0.170	0.585	(A) Immunomodulatory
CD96	3q13.13-q13.2	1.23	1.00	0.43	0.87	0.23	0.698	0.904	(A) Immunomodulatory
TNIP1	5q33.1	0.35	0.12	0.34	0.20	0.23	0.217	0.628	(A) Immunomodulatory
SLC36A4	11q21	0.24	0.01	0.35	0.02	0.23	0.111	0.502	(A) Immunomodulatory
HAMP	19q13.12	0.61	0.38	0.67	0.66	0.23	0.639	0.883	(A) Immunomodulatory
LINC00968	8q12.1	0.75	0.52	0.72	0.61	0.23	0.625	0.877	(A) Immunomodulatory
PYROXD1	12p12.1	0.38	0.15	0.46	0.25	0.23	0.327	0.724	(A) Immunomodulatory
FERMT3	11q13.1	0.62	0.39	0.60	0.37	0.23	0.476	0.811	(A) Immunomodulatory
ALKBH3-AS1	11p11.2	0.32	0.10	0.65	0.17	0.23	0.541	0.839	(A) Immunomodulatory
ZNF688	16p11.2	0.50	0.27	0.39	0.23	0.23	0.280	0.684	(A) Immunomodulatory
SRSF11	1p31.1	0.27	0.05	0.38	0.08	0.23	0.147	0.557	(A) Immunomodulatory
PLA1A	3q13.33	1.02	0.79	0.66	0.56	0.23	0.596	0.863	(A) Immunomodulatory
HRH2	5q35.2	0.54	0.31	0.47	0.55	0.23	0.564	0.850	(A) Immunomodulatory
NEMF	14q21.3	0.35	0.12	0.44	0.10	0.23	0.202	0.614	(A) Immunomodulatory
SP140	2q37.1	1.44	1.21	0.35	0.70	0.23	0.637	0.882	(A) Immunomodulatory
BRMS1	11q13.2	0.23	0.00	0.35	0.00	0.23	0.104	0.496	(A) Immunomodulatory
CPAP	13q12.12-q12.13	0.23	0.00	0.36	0.01	0.23	0.115	0.506	(A) Immunomodulatory
CCDC107	9p13.3	0.24	0.01	0.25	0.02	0.23	0.0358	0.429	(A) Immunomodulatory
TSNAX	1q42.2	0.24	0.01	0.32	0.02	0.23	0.0860	0.480	(A) Immunomodulatory
RPL32	3p25.2	0.27	0.04	0.36	0.07	0.23	0.123	0.520	(A) Immunomodulatory
TMEM38A	19p13.11	0.39	0.16	0.47	0.28	0.23	0.365	0.743	(A) Immunomodulatory
FLOT1	6p21.33	0.26	0.03	0.45	0.04	0.23	0.194	0.604	(A) Immunomodulatory
SEC14L1	17q25.2-q25.3	0.33	0.11	0.46	0.13	0.23	0.235	0.644	(A) Immunomodulatory
SPAG7	17p13.2	0.31	0.08	0.22	0.14	0.23	0.0892	0.484	(A) Immunomodulatory
TSPAN2	1p13.2	0.64	0.41	0.55	0.49	0.23	0.544	0.841	(A) Immunomodulatory
RBP5	12p13.31	1.21	0.98	0.41	0.81	0.23	0.679	0.897	(A) Immunomodulatory
WASHC2EP	10q11.23	0.54	0.31	0.42	0.27	0.23	0.337	0.732	(A) Immunomodulatory
RPS2P32	7p15.3	0.23	0.00	0.42	0.01	0.23	0.170	0.585	(A) Immunomodulatory
POU5F2	5q15	0.55	0.32	0.52	0.46	0.23	0.616	0.873	(A) Immunomodulatory
TPTEP1	22q11.1	0.61	0.38	0.73	0.33	0.23	0.499	0.818	(A) Immunomodulatory
ORAI2	7q22.1	0.31	0.09	0.33	0.12	0.23	0.132	0.532	(A) Immunomodulatory
ASB2	14q32.12	0.96	0.73	0.55	0.64	0.23	0.622	0.875	(A) Immunomodulatory
RAB27A	15q21.3	0.48	0.25	0.35	0.31	0.23	0.354	0.737	(A) Immunomodulatory
FANCF	11p14.3	0.49	0.26	0.58	0.45	0.23	0.527	0.832	(A) Immunomodulatory
FXYD5	19q13.12	0.29	0.06	0.40	0.11	0.23	0.176	0.588	(A) Immunomodulatory
KLHL4	Xq21.31	0.56	0.33	0.48	0.56	0.23	0.579	0.857	(A) Immunomodulatory
OXT	20p13	0.35	0.13	0.42	0.18	0.23	0.338	0.732	(A) Immunomodulatory
CDKN1A	6p21.2	0.45	0.23	0.52	0.25	0.23	0.366	0.744	(A) Immunomodulatory
MPHOSPH10	2p13.3	0.24	0.01	0.31	0.02	0.23	0.0745	0.473	(A) Immunomodulatory
RALY	20q11.22	0.35	0.12	0.35	0.21	0.23	0.233	0.642	(A) Immunomodulatory
BST1	4p15.32	0.36	0.13	0.41	0.12	0.23	0.192	0.602	(A) Immunomodulatory
GMEB2	20q13.33	0.27	0.04	0.32	0.07	0.23	0.0911	0.485	(A) Immunomodulatory
DDX46	5q31.1	0.34	0.11	0.31	0.19	0.23	0.198	0.609	(A) Immunomodulatory
RTCA	1p21.2	0.35	0.12	0.33	0.21	0.23	0.231	0.640	(A) Immunomodulatory
RNF167	17p13.2	0.26	0.03	0.27	0.06	0.23	0.0532	0.446	(A) Immunomodulatory
WTAP	6q25.3	0.38	0.16	0.36	0.27	0.23	0.314	0.713	(A) Immunomodulatory
ONECUT2	18q21.31	1.03	0.80	1.03	0.71	0.23	0.697	0.904	(A) Immunomodulatory
LINC01366	5q35.1	0.67	0.45	0.46	0.62	0.23	0.605	0.868	(A) Immunomodulatory
COL1A1	17q21.33	0.23	0.01	0.45	0.01	0.23	0.202	0.614	(A) Immunomodulatory
SAMD5	6q24.3	0.50	0.27	0.55	0.48	0.23	0.536	0.837	(A) Immunomodulatory
HCRTR1	1p35.2	0.38	0.15	0.11	0.14	0.23	0.146	0.555	(A) Immunomodulatory
SLC35F2	11q22.3	0.52	0.29	0.57	0.51	0.23	0.559	0.847	(A) Immunomodulatory
ACO1	9p21.1	0.23	0.00	0.27	0.00	0.23	0.0505	0.444	(A) Immunomodulatory
WIPI1	17q24.2	0.34	0.11	0.39	0.15	0.23	0.193	0.603	(A) Immunomodulatory
NFKB1	4q24	0.39	0.16	0.38	0.13	0.23	0.174	0.587	(A) Immunomodulatory
GPR143	Xp22.2	0.33	0.11	0.47	0.19	0.23	0.286	0.689	(A) Immunomodulatory
SLCO3A1	15q26.1	0.27	0.05	0.36	0.08	0.23	0.134	0.535	(A) Immunomodulatory
ACTL6A	3q26.33	0.52	0.30	0.35	0.52	0.23	0.540	0.839	(A) Immunomodulatory
MBD4	3q21.3	0.33	0.10	0.27	0.17	0.23	0.154	0.566	(A) Immunomodulatory
B3GALT1	2q24.3	0.25	0.02	0.39	0.04	0.23	0.216	0.627	(A) Immunomodulatory
RFXAP	13q13.3	0.29	0.06	0.33	0.11	0.23	0.121	0.516	(A) Immunomodulatory
VRK2	2p16.1	0.38	0.15	0.48	0.13	0.23	0.256	0.663	(A) Immunomodulatory
AP3S1	5q22.3-q23.1	0.24	0.02	0.33	0.02	0.23	0.0944	0.486	(A) Immunomodulatory
SRSF7	2p22.1	0.27	0.04	0.17	0.08	0.23	0.0149	0.384	(A) Immunomodulatory
NEFH	22q12.2	0.55	0.33	0.72	0.57	0.23	0.613	0.871	(A) Immunomodulatory
MYDGF	19p13.3	0.47	0.24	0.45	0.42	0.23	0.484	0.814	(A) Immunomodulatory
GHITM	10q23.1	0.32	0.10	0.38	0.17	0.23	0.209	0.620	(A) Immunomodulatory
OSCAR	19q13.42	0.48	0.25	0.51	0.43	0.23	0.504	0.820	(A) Immunomodulatory
TMTC1	12p11.22	0.53	0.31	0.52	0.53	0.22	0.568	0.852	(A) Immunomodulatory
NLRP14	11p15.4	0.49	0.26	0.40	0.45	0.22	0.501	0.819	(A) Immunomodulatory
SFRP2	4q31.3	0.49	0.26	0.60	0.35	0.22	0.471	0.808	(A) Immunomodulatory
CHD1L	1q21.1	0.31	0.08	0.31	0.14	0.22	0.141	0.546	(A) Immunomodulatory
HSBP1	16q23.3	0.39	0.17	0.42	0.29	0.22	0.354	0.737	(A) Immunomodulatory
NDUFB1	14q31.3	0.31	0.09	0.36	0.14	0.22	0.174	0.587	(A) Immunomodulatory
TNFRSF14	1p36.32	0.67	0.45	0.37	0.31	0.22	0.362	0.742	(A) Immunomodulatory
IP6K3	6p21.31	0.46	0.23	0.74	0.41	0.22	0.577	0.856	(A) Immunomodulatory
PRELID3B	20q13.32	0.28	0.05	0.34	0.09	0.22	0.122	0.518	(A) Immunomodulatory
ATP5F1E	20q13.32	0.39	0.16	0.34	0.28	0.22	0.327	0.723	(A) Immunomodulatory
OR51B5	11p15.4	0.50	0.28	0.54	0.48	0.22	0.589	0.861	(A) Immunomodulatory
IFI27L2	14q32.12	0.38	0.15	0.51	0.14	0.22	0.288	0.690	(A) Immunomodulatory
TMA7	3p21.31	0.35	0.12	0.49	0.22	0.22	0.322	0.720	(A) Immunomodulatory
SBSPON	8q21.11	0.43	0.21	0.75	0.33	0.22	0.509	0.823	(A) Immunomodulatory
