Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
TMEM161B-DT	5q14.3	0.84	0.20	0.71	0.56	0.65	0.0732	0.692	(A) Basal-Like 1
COL9A1	6q13	1.66	1.02	1.44	1.26	0.65	0.395	0.815	(A) Basal-Like 1
FNDC1-AS1	6q25.3	1.31	0.66	0.57	0.81	0.64	0.0824	0.692	(A) Basal-Like 1
UHRF2	9p24.1	0.82	0.18	0.44	0.23	0.64	6.893e-3	0.692	(A) Basal-Like 1
LINC00491	5q21.1	1.12	0.48	0.83	0.96	0.64	0.388	0.812	(A) Basal-Like 1
SP9	2q31.1	1.45	0.81	1.00	1.13	0.64	0.397	0.816	(A) Basal-Like 1
RTP4	3q27.3	1.14	0.50	0.73	0.79	0.64	0.115	0.692	(A) Basal-Like 1
LHX6	9q33.2	1.09	0.45	1.00	0.45	0.64	0.153	0.710	(A) Basal-Like 1
NUGGC	8p21.1	0.69	0.05	0.68	0.15	0.64	0.0482	0.692	(A) Basal-Like 1
H1-9P	17q21.33	1.54	0.90	1.33	1.16	0.64	0.517	0.861	(A) Basal-Like 1
PLA2G2D	1p36.12	0.77	0.13	0.78	0.26	0.64	0.0770	0.692	(A) Basal-Like 1
MYBL1	8q13.1	1.87	1.23	0.37	0.68	0.64	0.0318	0.692	(A) Basal-Like 1
SNHG6	8q13.1	1.07	0.43	0.64	0.41	0.64	0.0445	0.692	(A) Basal-Like 1
NKX2-3	10q24.2	1.24	0.60	0.90	0.62	0.64	0.176	0.714	(A) Basal-Like 1
CCL8	17q12	0.84	0.20	0.75	0.46	0.64	0.0765	0.692	(A) Basal-Like 1
CCL25	19p13.2	0.78	0.14	0.67	0.19	0.64	0.0473	0.692	(A) Basal-Like 1
ASB9P1	15q26.1	0.76	0.13	0.76	0.32	0.64	0.0736	0.692	(A) Basal-Like 1
NAAA	4q21.1	0.77	0.13	0.59	0.25	0.64	0.0284	0.692	(A) Basal-Like 1
PRR5-ARHGAP8	22q13.31	1.08	0.45	0.32	0.60	0.64	0.0861	0.692	(A) Basal-Like 1
TMEM163	2q21.3	0.85	0.21	0.68	0.36	0.64	0.0534	0.692	(A) Basal-Like 1
EN2	7q36.3	1.35	0.72	1.12	1.09	0.64	0.300	0.773	(A) Basal-Like 1
JSRP1	19p13.3	0.82	0.19	0.65	0.41	0.64	0.0533	0.692	(A) Basal-Like 1
NXF3	Xq22.1	0.76	0.12	0.95	0.24	0.63	0.213	0.730	(A) Basal-Like 1
PATL2	15q21.1	0.67	0.04	0.67	0.08	0.63	0.0464	0.692	(A) Basal-Like 1
CYP2C18	10q23.33	0.86	0.22	0.94	0.45	0.63	0.195	0.719	(A) Basal-Like 1
CATSPERT	2q33.1	0.93	0.30	0.66	0.46	0.63	0.0556	0.692	(A) Basal-Like 1
CHI3L2	1p13.2	1.60	0.97	0.85	0.91	0.63	0.175	0.714	(A) Basal-Like 1
UBE2T	1q32.1	1.04	0.41	0.39	0.49	0.63	0.0126	0.692	(A) Basal-Like 1
CRTC3-AS1	15q26.1	0.85	0.22	0.43	0.31	0.63	0.159	0.712	(A) Basal-Like 1
PTGES	9q34.11	0.79	0.15	0.67	0.26	0.63	0.0497	0.692	(A) Basal-Like 1
SLC27A6	5q23.3	1.26	0.63	0.82	0.73	0.63	0.135	0.701	(A) Basal-Like 1
ODAD1	19q13.33	1.02	0.39	0.84	0.49	0.63	0.110	0.692	(A) Basal-Like 1
RHOXF1P1	Xq24	1.21	0.58	1.06	0.82	0.63	0.514	0.860	(A) Basal-Like 1
ZDHHC18	1p36.11	0.75	0.12	0.46	0.18	0.63	0.0106	0.692	(A) Basal-Like 1
MMP20	11q22.2	0.94	0.31	1.36	0.48	0.63	0.433	0.827	(A) Basal-Like 1
FOXD4	9p24.3	1.00	0.38	0.65	0.52	0.63	0.0613	0.692	(A) Basal-Like 1
LHFPL4	3p25.3	1.03	0.40	0.85	0.63	0.63	0.160	0.713	(A) Basal-Like 1
SLITRK4	Xq27.3	0.82	0.19	0.83	0.39	0.63	0.102	0.692	(A) Basal-Like 1
CLEC4D	12p13.31	0.69	0.07	0.63	0.20	0.63	0.0394	0.692	(A) Basal-Like 1
NKG7	19q13.41	0.69	0.07	0.88	0.15	0.63	0.110	0.692	(A) Basal-Like 1
FAM223A	Xq28	0.76	0.14	0.70	0.34	0.63	0.255	0.752	(A) Basal-Like 1
RNPC3-DT	1p21.1	0.78	0.15	0.53	0.21	0.62	0.0210	0.692	(A) Basal-Like 1
IFNG	12q15	0.71	0.09	0.73	0.18	0.62	0.0648	0.692	(A) Basal-Like 1
OR52N5	11p15.4	1.13	0.51	0.16	0.65	0.62	0.151	0.709	(A) Basal-Like 1
AMTN	4q13.3	1.24	0.62	1.14	0.73	0.62	0.244	0.748	(A) Basal-Like 1
IL2RA	10p15.1	0.65	0.03	0.59	0.06	0.62	0.0308	0.692	(A) Basal-Like 1
TRPM8	2q37.1	1.96	1.34	0.98	1.52	0.62	0.383	0.810	(A) Basal-Like 1
MARCO	2q14.2	1.01	0.38	0.96	0.66	0.62	0.173	0.714	(A) Basal-Like 1
APOC2	19q13.32	0.68	0.06	0.60	0.12	0.62	0.0340	0.692	(A) Basal-Like 1
FAM47C	Xp21.1	0.76	0.14	0.75	0.24	0.62	0.100	0.692	(A) Basal-Like 1
CARD9	9q34.3	0.69	0.07	0.64	0.20	0.62	0.0440	0.692	(A) Basal-Like 1
P2RY11	19p13.2	0.62	0.01	0.72	0.02	0.62	0.0639	0.692	(A) Basal-Like 1
UMODL1	21q22.3	1.61	0.99	0.96	1.00	0.62	0.246	0.748	(A) Basal-Like 1
DPPA2P3	3q29	0.74	0.12	0.71	0.24	0.62	0.268	0.757	(A) Basal-Like 1
SCARNA13	14q32.12	0.66	0.04	0.74	0.07	0.62	0.0984	0.692	(A) Basal-Like 1
HBG2	11p15.4	0.84	0.23	1.19	0.28	0.62	0.597	0.888	(A) Basal-Like 1
ZC2HC1A	8q21.13	0.84	0.22	0.46	0.37	0.62	0.0143	0.692	(A) Basal-Like 1
SGK3	8q13.1	1.03	0.41	0.52	0.61	0.61	0.0481	0.692	(A) Basal-Like 1
ABCC4	13q32.1	0.73	0.11	0.60	0.33	0.61	0.0376	0.692	(A) Basal-Like 1
CD8A	2p11.2	0.64	0.02	0.63	0.07	0.61	0.0421	0.692	(A) Basal-Like 1
COSMOC	18q12.2	1.04	0.43	0.32	0.46	0.61	7.151e-3	0.692	(A) Basal-Like 1
NLRP2B	Xp11.21	0.78	0.17	0.33	0.33	0.61	0.0108	0.692	(A) Basal-Like 1
RIMS2	8q22.3	0.72	0.11	0.95	0.31	0.61	0.146	0.708	(A) Basal-Like 1
TAGLN2	1q23.2	0.80	0.19	0.54	0.30	0.61	0.0263	0.692	(A) Basal-Like 1
SLC15A1	13q32.2-q32.3	1.52	0.91	0.77	1.07	0.61	0.222	0.736	(A) Basal-Like 1
ANKRD24	19p13.3	0.61	0.01	0.57	0.02	0.61	0.0294	0.692	(A) Basal-Like 1
P2RX1	17p13.2	0.66	0.05	0.71	0.12	0.61	0.0640	0.692	(A) Basal-Like 1
TNFRSF9	1p36.23	0.63	0.02	0.64	0.05	0.61	0.0450	0.692	(A) Basal-Like 1
GATA5	20q13.33	1.14	0.53	1.02	1.18	0.61	0.380	0.808	(A) Basal-Like 1
CDCA7L	7p15.3	0.82	0.22	0.59	0.32	0.61	0.0363	0.692	(A) Basal-Like 1
LINC01781	1p31.1	0.69	0.09	0.69	0.21	0.61	0.0856	0.692	(A) Basal-Like 1
MOCOS	18q12.2	0.85	0.25	0.54	0.24	0.61	0.0253	0.692	(A) Basal-Like 1
PAPSS2	10q23.2-q23.31	0.87	0.27	0.80	0.46	0.60	0.109	0.692	(A) Basal-Like 1
ZNG1A	9p24.3	0.97	0.37	0.56	0.43	0.60	0.0363	0.692	(A) Basal-Like 1
GZMH	14q12	0.69	0.08	0.74	0.25	0.60	0.0771	0.692	(A) Basal-Like 1
FRAT2	10q24.1	0.80	0.20	0.33	0.30	0.60	2.535e-3	0.692	(A) Basal-Like 1
FAM72B	1p11.2	1.17	0.57	0.34	0.68	0.60	0.0386	0.692	(A) Basal-Like 1
KLKB1	4q35.2	1.01	0.41	0.94	0.51	0.60	0.161	0.714	(A) Basal-Like 1
FUT9	6q16.1	1.01	0.41	0.85	0.82	0.60	0.201	0.721	(A) Basal-Like 1
CPPED1	16p13.12	0.66	0.06	0.57	0.13	0.60	0.0312	0.692	(A) Basal-Like 1
ERMP1	9p24.1	0.87	0.27	0.62	0.42	0.60	0.0525	0.692	(A) Basal-Like 1
KLHL38	8q24.13	1.46	0.86	0.42	1.04	0.60	0.171	0.714	(A) Basal-Like 1
ELAVL3	19p13.2	1.27	0.67	0.96	0.85	0.60	0.296	0.771	(A) Basal-Like 1
SAA4	11p15.1	0.96	0.36	0.66	0.66	0.60	0.140	0.705	(A) Basal-Like 1
TTLL6	17q21.32	1.09	0.50	0.65	0.91	0.60	0.287	0.766	(A) Basal-Like 1
HRCT1	9p13.3	1.53	0.93	0.75	0.85	0.60	0.159	0.712	(A) Basal-Like 1
DNAJC5B	8q13.1	0.70	0.10	0.70	0.27	0.60	0.0675	0.692	(A) Basal-Like 1
POU2AF1	11q23.1	0.64	0.04	0.67	0.10	0.60	0.0568	0.692	(A) Basal-Like 1
HHLA2	3q13.13	0.70	0.10	0.65	0.19	0.60	0.111	0.692	(A) Basal-Like 1
ZNF695	1q44	0.96	0.36	0.40	0.37	0.60	9.451e-3	0.692	(A) Basal-Like 1
ADAMTS16	5p15.32	0.86	0.26	0.96	0.67	0.60	0.190	0.717	(A) Basal-Like 1
KIF20B	10q23.31	0.77	0.17	0.36	0.27	0.60	4.133e-3	0.692	(A) Basal-Like 1
IKBKE	1q32.1	0.78	0.18	0.47	0.35	0.60	0.0176	0.692	(A) Basal-Like 1
IRF4	6p25.3	0.68	0.09	0.60	0.18	0.60	0.0389	0.692	(A) Basal-Like 1
RAET1E	6q25.1	0.99	0.39	0.98	0.72	0.59	0.206	0.723	(A) Basal-Like 1
MYL7	7p13	0.75	0.16	1.30	0.32	0.59	0.515	0.860	(A) Basal-Like 1
ROPN1B	3q21.2	1.49	0.90	0.56	0.66	0.59	0.0825	0.692	(A) Basal-Like 1
GPR84	12q13.13	0.65	0.06	0.66	0.15	0.59	0.0548	0.692	(A) Basal-Like 1
MMP12	11q22.2	0.95	0.36	0.99	0.76	0.59	0.218	0.733	(A) Basal-Like 1
NEUROG2	4q25	0.86	0.27	0.99	0.54	0.59	0.222	0.736	(A) Basal-Like 1
CENPF	1q41	1.03	0.43	0.38	0.38	0.59	8.740e-3	0.692	(A) Basal-Like 1
MTFR2	6q23.3	0.85	0.26	0.38	0.37	0.59	8.435e-3	0.692	(A) Basal-Like 1
CKS2	9q22.2	1.08	0.49	0.34	0.50	0.59	0.0144	0.692	(A) Basal-Like 1
BAAT	9q31.1	0.98	0.39	0.42	0.74	0.59	0.0845	0.692	(A) Basal-Like 1
IL27RA	19p13.12	0.73	0.14	0.78	0.27	0.59	0.0975	0.692	(A) Basal-Like 1
C11ORF86	11q13.2	1.23	0.64	0.73	0.75	0.59	0.149	0.709	(A) Basal-Like 1
MRGPRX3	11p15.1	0.69	0.10	0.85	0.23	0.59	0.199	0.720	(A) Basal-Like 1
MBP	18q23	0.76	0.17	0.33	0.36	0.59	4.737e-3	0.692	(A) Basal-Like 1
BMPR1B	4q22.3	1.06	0.47	0.73	0.72	0.59	0.133	0.701	(A) Basal-Like 1
IDH2	15q26.1	0.70	0.12	0.46	0.15	0.59	0.0142	0.692	(A) Basal-Like 1
CKS1B	1q21.3	0.94	0.36	0.42	0.34	0.59	0.0114	0.692	(A) Basal-Like 1
VEPH1	3q25.31-q25.32	1.06	0.47	0.77	0.52	0.59	0.113	0.692	(A) Basal-Like 1
CLYBL	13q32.3	0.69	0.11	0.49	0.32	0.59	0.0207	0.692	(A) Basal-Like 1
DPY19L2P2	7q22.1	1.20	0.61	0.95	0.71	0.59	0.202	0.721	(A) Basal-Like 1
ETV7	6p21.31	0.70	0.12	0.53	0.35	0.58	0.0320	0.692	(A) Basal-Like 1
ACP7	19q13.2	0.89	0.31	1.07	0.37	0.58	0.296	0.771	(A) Basal-Like 1
POU4F1	13q31.1	1.40	0.82	0.97	0.86	0.58	0.247	0.749	(A) Basal-Like 1
PGBD5	1q42.13	1.44	0.86	0.76	1.06	0.58	0.226	0.737	(A) Basal-Like 1
LIN9	1q42.12	0.88	0.31	0.27	0.43	0.58	5.738e-3	0.692	(A) Basal-Like 1
INAVA	1q32.1	0.97	0.39	0.76	0.53	0.58	0.115	0.692	(A) Basal-Like 1
RPS6	9p22.1	0.74	0.16	0.55	0.31	0.58	0.0346	0.692	(A) Basal-Like 1
POU3F2	6q16.1	1.09	0.52	1.20	1.04	0.58	0.445	0.833	(A) Basal-Like 1
ZNG1F	9p11.2	0.78	0.21	0.59	0.27	0.57	0.0439	0.692	(A) Basal-Like 1
HLA-F	6p22.1	0.67	0.10	0.59	0.26	0.57	0.0434	0.692	(A) Basal-Like 1
COXFA4L3	15q21.1	0.66	0.08	0.44	0.13	0.57	0.0127	0.692	(A) Basal-Like 1
BMP10	2p13.3	0.61	0.03	0.55	0.07	0.57	0.209	0.725	(A) Basal-Like 1
SECTM1	17q25.3	0.86	0.29	0.72	0.57	0.57	0.111	0.692	(A) Basal-Like 1
ARHGAP36	Xq26.1	1.28	0.71	1.11	1.02	0.57	0.492	0.853	(A) Basal-Like 1
TMEM238L	17p13.1-p12	1.03	0.46	1.44	0.67	0.57	0.441	0.831	(A) Basal-Like 1
FAM157B	9q34.3	0.78	0.21	0.77	0.37	0.57	0.183	0.714	(A) Basal-Like 1
EPB41L4B	9q31.3	0.83	0.26	0.57	0.26	0.57	0.0397	0.692	(A) Basal-Like 1
KLF17	1p34.1	0.84	0.27	0.75	0.35	0.57	0.122	0.697	(A) Basal-Like 1
LHPP	10q26.13	0.66	0.09	0.62	0.25	0.57	0.0526	0.692	(A) Basal-Like 1
RTN4IP1	6q21	0.88	0.31	0.40	0.39	0.57	0.0134	0.692	(A) Basal-Like 1
KRTAP5-AS1	11p15.5	0.60	0.03	0.65	0.09	0.57	0.0608	0.692	(A) Basal-Like 1
SELE	1q24.2	0.70	0.13	0.48	0.19	0.57	0.0202	0.692	(A) Basal-Like 1
STRC	15q15.3	0.77	0.20	0.48	0.52	0.57	0.0398	0.692	(A) Basal-Like 1
CNGA4	11p15.4	0.73	0.16	0.84	0.30	0.57	0.131	0.700	(A) Basal-Like 1
VWA3B	2q11.2	0.82	0.25	0.58	0.41	0.57	0.0529	0.692	(A) Basal-Like 1
CLDN7	17p13.1	0.79	0.22	0.60	0.39	0.57	0.0547	0.692	(A) Basal-Like 1
ULBP3	6q25.1	0.76	0.19	0.54	0.35	0.57	0.0379	0.692	(A) Basal-Like 1
AUNIP	1p36.11	0.96	0.39	0.43	0.51	0.57	0.0302	0.692	(A) Basal-Like 1
RAB11FIP4	17q11.2	0.84	0.27	0.59	0.41	0.57	0.0553	0.692	(A) Basal-Like 1
IBSP	4q22.1	1.30	0.73	0.69	0.87	0.57	0.170	0.714	(A) Basal-Like 1
FOXN2	2p16.3	0.68	0.11	0.47	0.18	0.57	0.0186	0.692	(A) Basal-Like 1
AGTPBP1	9q21.33	0.71	0.15	0.47	0.22	0.57	0.0185	0.692	(A) Basal-Like 1
PGLYRP4	1q21.3	0.88	0.32	0.71	0.59	0.57	0.233	0.741	(A) Basal-Like 1
RASGRP1	15q14	0.76	0.19	0.55	0.27	0.57	0.0362	0.692	(A) Basal-Like 1
MAPK15	8q24.3	1.26	0.70	0.67	0.81	0.56	0.149	0.709	(A) Basal-Like 1
RTBDN	19p13.13	0.97	0.41	0.78	0.51	0.56	0.303	0.775	(A) Basal-Like 1
IL4I1	19q13.33	0.71	0.14	0.56	0.31	0.56	0.0413	0.692	(A) Basal-Like 1
HMMR	5q34	0.87	0.30	0.27	0.42	0.56	6.012e-3	0.692	(A) Basal-Like 1
DUSP5P1	1q42.13	0.86	0.30	0.69	0.54	0.56	0.103	0.692	(A) Basal-Like 1
AK2	1p35.1	0.85	0.29	0.22	0.43	0.56	5.404e-3	0.692	(A) Basal-Like 1
TRIM15	6p22.1	0.62	0.06	1.13	0.14	0.56	0.393	0.813	(A) Basal-Like 1
OVOL1	11q13.1	1.26	0.70	0.27	0.73	0.56	0.0592	0.692	(A) Basal-Like 1
BICDL3P	7q11.23	0.69	0.13	0.75	0.38	0.56	0.109	0.692	(A) Basal-Like 1
ANKRD18A	9p13.1	0.81	0.26	0.79	0.49	0.56	0.133	0.701	(A) Basal-Like 1
DCST2	1q21.3	0.93	0.37	0.44	0.58	0.56	0.0457	0.692	(A) Basal-Like 1
ICAM1	19p13.2	0.58	0.02	0.57	0.07	0.56	0.0403	0.692	(A) Basal-Like 1
GACAT2	18p11.22	1.19	0.64	1.38	1.03	0.56	0.542	0.872	(A) Basal-Like 1
VCPIP1	8q13.1	0.79	0.23	0.30	0.40	0.56	6.192e-3	0.692	(A) Basal-Like 1
FNBP1	9q34.11	0.58	0.02	0.57	0.06	0.56	0.0412	0.692	(A) Basal-Like 1
WHRN	9q32	1.09	0.54	0.62	0.55	0.56	0.0855	0.692	(A) Basal-Like 1
PLS3-AS1	Xq23	0.97	0.41	0.80	0.43	0.56	0.132	0.701	(A) Basal-Like 1
QRSL1	6q21	0.74	0.18	0.53	0.36	0.56	0.0384	0.692	(A) Basal-Like 1
IFNG-AS1	12q15	0.68	0.12	0.82	0.36	0.56	0.132	0.701	(A) Basal-Like 1
ATP8B4	15q21.2	0.69	0.14	0.77	0.28	0.56	0.111	0.692	(A) Basal-Like 1
C1GALT1C1	Xq24	0.80	0.24	0.37	0.31	0.56	7.503e-3	0.692	(A) Basal-Like 1
MGAM	7q34	0.81	0.25	1.00	0.57	0.56	0.223	0.736	(A) Basal-Like 1
S100P	4p16.1	1.19	0.63	0.83	0.92	0.55	0.226	0.738	(A) Basal-Like 1
CFAP46	10q26.3	0.81	0.25	1.01	0.52	0.55	0.363	0.802	(A) Basal-Like 1
PLCXD3	5p13.1	0.61	0.06	0.91	0.13	0.55	0.162	0.714	(A) Basal-Like 1
GHRHR	7p14.3	0.85	0.29	0.61	0.59	0.55	0.195	0.719	(A) Basal-Like 1
CCR9	3p21.31	0.68	0.13	0.98	0.28	0.55	0.283	0.764	(A) Basal-Like 1
AP3S2	15q26.1	0.59	0.03	0.52	0.09	0.55	0.0301	0.692	(A) Basal-Like 1
EAF2	3q13.33	0.57	0.02	0.51	0.07	0.55	0.0278	0.692	(A) Basal-Like 1
KLHDC7B	22q13.33	0.73	0.18	0.78	0.36	0.55	0.122	0.697	(A) Basal-Like 1
LOC101927572	19q13.12	0.90	0.35	0.61	0.43	0.55	0.0689	0.692	(A) Basal-Like 1
PRKAR1B	7p22.3	0.80	0.25	0.69	0.31	0.55	0.0861	0.692	(A) Basal-Like 1
CLEC6A	12p13.31	0.64	0.09	0.63	0.16	0.55	0.0628	0.692	(A) Basal-Like 1
COPS5	8q13.1	0.87	0.33	0.41	0.35	0.55	0.0158	0.692	(A) Basal-Like 1
ZBBX	3q26.1	0.74	0.19	0.41	0.28	0.55	0.144	0.706	(A) Basal-Like 1
SLC44A2	19p13.2	0.94	0.39	0.51	0.40	0.55	0.0397	0.692	(A) Basal-Like 1
F11	4q35.2	0.75	0.20	0.73	0.40	0.55	0.203	0.721	(A) Basal-Like 1
EFHB	3p24.3	0.82	0.27	0.65	0.45	0.55	0.0875	0.692	(A) Basal-Like 1
NT5M	17p11.2	0.81	0.26	0.46	0.60	0.55	0.0581	0.692	(A) Basal-Like 1
GLIPR2	9p13.3	0.78	0.24	0.63	0.38	0.55	0.0717	0.692	(A) Basal-Like 1
TEDDM1	1q25.3	0.69	0.14	0.45	0.30	0.55	0.0217	0.692	(A) Basal-Like 1
TG	8q24.22	0.74	0.20	0.71	0.33	0.55	0.0951	0.692	(A) Basal-Like 1
MIXL1	1q42.12	0.67	0.13	0.57	0.29	0.55	0.0487	0.692	(A) Basal-Like 1
RFX3	9p24.2	0.82	0.27	0.66	0.51	0.55	0.0973	0.692	(A) Basal-Like 1
RAB11FIP1	8p11.23	0.76	0.22	0.73	0.44	0.55	0.115	0.692	(A) Basal-Like 1
ADGRB3	6q12-q13	0.63	0.09	0.75	0.14	0.54	0.181	0.714	(A) Basal-Like 1
RHPN2	19q13.11	1.13	0.59	0.78	0.63	0.54	0.159	0.712	(A) Basal-Like 1
PLEKHG1	6q25.1	1.00	0.45	0.53	0.49	0.54	0.0557	0.692	(A) Basal-Like 1
PROM1	4p15.32	1.14	0.60	0.64	0.75	0.54	0.141	0.706	(A) Basal-Like 1
NUDCD1	8q23.1	0.85	0.30	0.22	0.43	0.54	5.909e-3	0.692	(A) Basal-Like 1
LYN	8q12.1	0.65	0.11	0.27	0.30	0.54	1.868e-3	0.692	(A) Basal-Like 1
SNX10	7p15.2	0.57	0.02	0.40	0.07	0.54	0.0111	0.692	(A) Basal-Like 1
FRG2	4q35.2	1.33	0.79	0.40	0.33	0.54	0.149	0.709	(A) Basal-Like 1
SNHG5	6q14.3	0.90	0.36	0.78	0.60	0.54	0.155	0.711	(A) Basal-Like 1
C9ORF163	9q34.3	0.96	0.42	0.38	0.63	0.54	0.0528	0.692	(A) Basal-Like 1
FNDC10	1p36.33	0.98	0.44	0.54	0.66	0.54	0.0941	0.692	(A) Basal-Like 1
FGF7P3	9p12	0.92	0.38	0.48	0.58	0.54	0.0611	0.692	(A) Basal-Like 1
POP1	8q22.2	1.01	0.47	0.37	0.44	0.54	0.0180	0.692	(A) Basal-Like 1
CD27	12p13.31	0.59	0.05	0.69	0.12	0.54	0.0861	0.692	(A) Basal-Like 1
TLR5	1q41	1.00	0.47	0.49	0.36	0.54	0.0337	0.692	(A) Basal-Like 1
MTTP	4q23	0.93	0.39	0.71	0.57	0.54	0.126	0.700	(A) Basal-Like 1
APOL6	22q12.3	0.65	0.11	0.52	0.34	0.54	0.0397	0.692	(A) Basal-Like 1
CYP4F35P	18p11.21	0.84	0.31	0.92	0.63	0.54	0.220	0.734	(A) Basal-Like 1
CFB	6p21.33	0.86	0.32	0.95	0.59	0.54	0.222	0.736	(A) Basal-Like 1
OR5E1P	11p15.4	0.65	0.12	0.14	0.20	0.53	0.0430	0.692	(A) Basal-Like 1
DHDH	19q13.33	1.02	0.48	0.79	0.49	0.53	0.148	0.709	(A) Basal-Like 1
P2RX5	17p13.2	0.66	0.12	0.67	0.37	0.53	0.0912	0.692	(A) Basal-Like 1
S100A1	1q21.3	1.63	1.09	0.30	0.91	0.53	0.129	0.700	(A) Basal-Like 1
TAP1	6p21.32	0.61	0.08	0.54	0.14	0.53	0.0390	0.692	(A) Basal-Like 1
FMO2	1q24.3	0.89	0.36	0.84	0.72	0.53	0.203	0.721	(A) Basal-Like 1
LINC01857	2q33.3	0.57	0.03	0.59	0.10	0.53	0.0525	0.692	(A) Basal-Like 1
RDH10	8q21.11	1.12	0.59	0.88	0.68	0.53	0.212	0.727	(A) Basal-Like 1
UPK1A-AS1	19q13.12	0.63	0.10	0.65	0.22	0.53	0.201	0.721	(A) Basal-Like 1
MRPS9-AS2	2q12.1	0.81	0.28	0.68	0.40	0.53	0.279	0.761	(A) Basal-Like 1
MRPS35	12p11.22	0.82	0.29	0.27	0.45	0.53	0.0114	0.692	(A) Basal-Like 1
CHODL	21q21.1	1.20	0.66	0.62	0.69	0.53	0.128	0.700	(A) Basal-Like 1
HDDC3	15q26.1	0.65	0.12	0.37	0.24	0.53	8.160e-3	0.692	(A) Basal-Like 1
A2ML1	12p13.31	1.39	0.86	1.12	0.99	0.53	0.344	0.797	(A) Basal-Like 1
CPNE7	16q24.3	1.05	0.52	0.79	0.62	0.53	0.172	0.714	(A) Basal-Like 1
SOCS3-DT	17q25.3	0.80	0.27	0.54	0.54	0.53	0.0905	0.692	(A) Basal-Like 1
NIBAN3	19p13.11	0.56	0.03	0.65	0.05	0.53	0.0734	0.692	(A) Basal-Like 1
AQP4-AS1	18q11.2	0.76	0.23	0.63	0.32	0.53	0.279	0.761	(A) Basal-Like 1
PSPH	7p11.2	0.64	0.11	0.53	0.17	0.53	0.0383	0.692	(A) Basal-Like 1
APOBEC3B	22q13.1	1.19	0.66	0.86	0.82	0.53	0.235	0.742	(A) Basal-Like 1
TPD52	8q21.13	0.98	0.45	0.30	0.47	0.53	0.0175	0.692	(A) Basal-Like 1
TMEM102	17p13.1	0.60	0.07	0.59	0.12	0.53	0.0578	0.692	(A) Basal-Like 1
MCIDAS	5q11.2	0.81	0.29	0.70	0.54	0.53	0.193	0.718	(A) Basal-Like 1
ADGRG6	6q24.2	0.93	0.40	0.35	0.80	0.53	0.103	0.692	(A) Basal-Like 1
GBP1	1p22.2	0.73	0.20	0.64	0.40	0.53	0.0861	0.692	(A) Basal-Like 1
TMEM183A	1q32.1	0.86	0.33	0.34	0.31	0.53	7.663e-3	0.692	(A) Basal-Like 1
ENTPD8	9q34.3	1.15	0.63	0.87	0.77	0.53	0.242	0.746	(A) Basal-Like 1
C5	9q33.2	0.65	0.13	0.55	0.26	0.53	0.0474	0.692	(A) Basal-Like 1
OR2A7	7q35	0.87	0.34	0.51	0.43	0.52	0.0536	0.692	(A) Basal-Like 1
CSPG5	3p21.31	0.78	0.26	0.76	0.35	0.52	0.129	0.700	(A) Basal-Like 1
HENMT1	1p13.3	0.86	0.33	0.42	0.47	0.52	0.0343	0.692	(A) Basal-Like 1
TSPO	22q13.2	0.80	0.27	0.34	0.38	0.52	0.0115	0.692	(A) Basal-Like 1
FAM201A	9p13.1	0.77	0.25	0.72	0.37	0.52	0.115	0.692	(A) Basal-Like 1
LINC01501	9q22.2	0.73	0.20	0.81	0.47	0.52	0.304	0.776	(A) Basal-Like 1
SLC6A10P	16p11.2	0.83	0.31	1.65	0.48	0.52	0.578	0.883	(A) Basal-Like 1
TP53BP2	1q41	1.17	0.65	0.58	0.71	0.52	0.126	0.700	(A) Basal-Like 1
TUT7	9q21.33	0.56	0.03	0.28	0.07	0.52	2.292e-3	0.692	(A) Basal-Like 1
TIAM2	6q25.2-q25.3	1.06	0.54	0.77	0.71	0.52	0.188	0.715	(A) Basal-Like 1
FCAR	19q13.42	0.79	0.27	0.59	0.53	0.52	0.0900	0.692	(A) Basal-Like 1
KLRC3	12p13.2	0.54	0.02	0.53	0.03	0.52	0.0409	0.692	(A) Basal-Like 1
RSU1	10p13	0.86	0.34	0.52	0.25	0.52	0.0398	0.692	(A) Basal-Like 1
RFX3-DT	9p24.2	0.68	0.16	0.79	0.47	0.52	0.157	0.712	(A) Basal-Like 1
CD70	19p13.3	0.57	0.05	0.72	0.14	0.52	0.107	0.692	(A) Basal-Like 1
TMEM38B	9q31.2	0.75	0.23	0.34	0.33	0.52	9.288e-3	0.692	(A) Basal-Like 1
IL31RA	5q11.2	0.69	0.17	0.89	0.39	0.52	0.193	0.718	(A) Basal-Like 1
UCHL5	1q31.2	0.83	0.31	0.42	0.35	0.52	0.0223	0.692	(A) Basal-Like 1
INTS13	12p11.23	0.84	0.32	0.40	0.49	0.52	0.0360	0.692	(A) Basal-Like 1
GPR183	13q32.3	0.67	0.16	0.58	0.26	0.52	0.0604	0.692	(A) Basal-Like 1
GPR87	3q25.1	0.92	0.40	0.87	0.75	0.52	0.262	0.756	(A) Basal-Like 1
RHOXF1-AS1	Xq24	1.03	0.51	0.90	0.92	0.52	0.277	0.760	(A) Basal-Like 1
KRT73	12q13.13	0.59	0.07	0.65	0.14	0.52	0.299	0.773	(A) Basal-Like 1
