Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
TRIM58	1q44	1.01	0.27	1.02	0.44	0.75	0.110	0.692	(A) Basal-Like 1
ASIC3	7q36.1	0.97	0.23	0.93	0.47	0.74	0.0880	0.692	(A) Basal-Like 1
TRIQK	8q22.1	0.92	0.18	0.23	0.33	0.74	1.179e-4	0.692	(A) Basal-Like 1
DSG3	18q12.1	1.79	1.05	1.07	1.26	0.74	0.226	0.738	(A) Basal-Like 1
DMRT1	9p24.3	1.16	0.43	0.79	0.62	0.74	0.173	0.714	(A) Basal-Like 1
PAX7	1p36.13	1.12	0.38	1.36	0.85	0.74	0.389	0.812	(A) Basal-Like 1
RBP7	1p36.22	0.94	0.21	0.80	0.35	0.74	0.0544	0.692	(A) Basal-Like 1
ARMC3	10p12.2	0.94	0.20	0.85	0.39	0.74	0.0670	0.692	(A) Basal-Like 1
BRINP3-DT	1q31.1	0.96	0.23	0.97	0.37	0.74	0.174	0.714	(A) Basal-Like 1
LRRC8C	1p22.2	0.75	0.02	0.54	0.04	0.73	0.0118	0.692	(A) Basal-Like 1
TNF	6p21.33	0.82	0.09	0.57	0.16	0.73	0.0139	0.692	(A) Basal-Like 1
STK26	Xq26.2	1.02	0.29	0.53	0.49	0.73	0.0156	0.692	(A) Basal-Like 1
CCL5	17q12	0.82	0.09	0.68	0.19	0.73	0.0288	0.692	(A) Basal-Like 1
ORM1	9q32	1.51	0.78	1.40	0.95	0.73	0.395	0.815	(A) Basal-Like 1
ZFP57	6p22.1	1.58	0.86	0.86	0.96	0.73	0.135	0.701	(A) Basal-Like 1
VGLL1	Xq26.3	1.31	0.58	0.98	0.78	0.72	0.136	0.701	(A) Basal-Like 1
KPNA7	7q22.1	0.98	0.26	0.84	0.52	0.72	0.133	0.701	(A) Basal-Like 1
MATK	19p13.3	0.89	0.16	0.89	0.36	0.72	0.0807	0.692	(A) Basal-Like 1
RIC3	11p15.4	1.38	0.66	0.87	0.85	0.72	0.122	0.697	(A) Basal-Like 1
NRG2	5q31.2	1.72	1.00	0.40	0.90	0.72	0.0532	0.692	(A) Basal-Like 1
GPR37	7q31.33	1.25	0.53	0.83	0.52	0.72	0.0726	0.692	(A) Basal-Like 1
SLC5A5	19p13.11	0.74	0.03	0.83	0.08	0.72	0.0634	0.692	(A) Basal-Like 1
LINC01301	8q12.1	1.22	0.51	0.52	0.64	0.72	0.0272	0.692	(A) Basal-Like 1
AMPD1	1p13.2	0.80	0.08	0.70	0.21	0.72	0.0348	0.692	(A) Basal-Like 1
SLC2A14	12p13.31	1.04	0.32	0.66	0.70	0.72	0.0563	0.692	(A) Basal-Like 1
LINC03034	15q13.3	0.81	0.10	0.61	0.19	0.72	0.0210	0.692	(A) Basal-Like 1
LINC01058	13q12.3	0.73	0.02	0.59	0.03	0.71	0.0180	0.692	(A) Basal-Like 1
FXYD3	19q13.12	1.11	0.39	0.45	0.68	0.71	0.0244	0.692	(A) Basal-Like 1
