Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
LZTS2	10q24.31	0.13	0.45	0.23	0.42	-0.32	0.0687	0.388	(B) Mesenchymal
STK25	2q37.3	0.10	0.41	0.21	0.40	-0.31	0.0688	0.388	(B) Mesenchymal
ZNF430	19p12	0.24	0.04	0.25	0.10	0.20	0.0688	0.388	(A) Immunomodulatory
ASB3	2p16.2	0.35	0.12	0.25	0.24	0.24	0.0689	0.388	(A) Immunomodulatory
RRAGB	Xp11.21	0.12	0.41	0.23	0.37	-0.29	0.0689	0.388	(B) Mesenchymal
EIF2AK1	7p22.1	0.01	0.25	0.04	0.33	-0.23	0.0689	0.388	(B) Mesenchymal
KIF14	1q32.1	0.19	0.53	0.27	0.44	-0.35	0.0689	0.388	(B) Mesenchymal
WDFY3	4q21.23	0.01	0.26	0.04	0.35	-0.25	0.0689	0.388	(B) Mesenchymal
IL1A	2q14.1	0.48	0.14	0.39	0.32	0.34	0.0689	0.388	(A) Immunomodulatory
OCM	7p22.1	0.56	0.10	0.48	0.18	0.46	0.0690	0.388	(A) Immunomodulatory
DLX5	7q21.3	0.58	1.36	0.71	0.94	-0.79	0.0690	0.388	(B) Mesenchymal
MYORG	9p13.3	0.16	0.68	0.36	0.69	-0.52	0.0690	0.388	(B) Mesenchymal
MCMBP	10q26.11	0.33	0.07	0.33	0.15	0.26	0.0692	0.389	(A) Immunomodulatory
LINC01697	21q21.3	0.62	0.12	0.64	0.23	0.50	0.0692	0.389	(A) Immunomodulatory
ZNF613	19q13.41	0.01	0.17	0.02	0.23	-0.16	0.0692	0.389	(B) Mesenchymal
FOS	14q24.3	1.18	0.27	1.14	0.54	0.90	0.0693	0.389	(A) Immunomodulatory
LINC00639	14q21.1	0.56	0.08	0.62	0.24	0.48	0.0693	0.389	(A) Immunomodulatory
RPF1	1p22.3	0.38	0.14	0.28	0.22	0.24	0.0693	0.389	(A) Immunomodulatory
ZNF829	19q13.12	0.20	0.50	0.32	0.32	-0.30	0.0693	0.389	(B) Mesenchymal
PRSS45P	3p21.31	0.13	0.60	0.20	0.59	-0.47	0.0693	0.389	(B) Mesenchymal
ATPSCKMT	5p15.2	0.18	0.59	0.22	0.57	-0.41	0.0693	0.389	(B) Mesenchymal
BICD2	9q22.31	0.03	0.24	0.05	0.31	-0.22	0.0694	0.389	(B) Mesenchymal
TPI1P2	7q32.1	0.25	0.63	0.39	0.42	-0.39	0.0694	0.389	(B) Mesenchymal
KIFC2	8q24.3	0.23	0.73	0.51	0.55	-0.51	0.0694	0.389	(B) Mesenchymal
ASCL5	1q32.1	0.10	0.55	0.18	0.58	-0.45	0.0695	0.389	(B) Mesenchymal
GBF1	10q24.32	0.05	0.38	0.08	0.47	-0.33	0.0696	0.389	(B) Mesenchymal
ANO7	2q37.3	0.06	0.60	0.15	0.76	-0.54	0.0696	0.389	(B) Mesenchymal
ADNP-AS1	20q13.13	0.07	0.35	0.14	0.39	-0.28	0.0697	0.389	(B) Mesenchymal
FIGNL1	7p12.2	0.06	0.28	0.11	0.30	-0.22	0.0697	0.389	(B) Mesenchymal
STIM2	4p15.2	0.32	0.08	0.30	0.17	0.24	0.0697	0.389	(A) Immunomodulatory
QSOX1	1q25.2	0.22	0.85	0.32	0.86	-0.63	0.0697	0.389	(B) Mesenchymal
DTX1	12q24.13	0.20	0.78	0.37	0.77	-0.58	0.0697	0.389	(B) Mesenchymal
LINC00921	16p13.3	0.32	0.05	0.34	0.15	0.27	0.0697	0.389	(A) Immunomodulatory
PIEZO1	16q24.3	0.04	0.27	0.07	0.33	-0.23	0.0698	0.390	(B) Mesenchymal
CAD	2p23.3	0.14	0.51	0.31	0.45	-0.37	0.0698	0.390	(B) Mesenchymal
NAPA-AS1	19q13.32-q13.33	0.72	0.24	0.58	0.37	0.48	0.0698	0.390	(A) Immunomodulatory
NUB1	7q36.1	0.62	0.25	0.33	0.44	0.36	0.0698	0.390	(A) Immunomodulatory
MEIOB	16p13.3	0.17	0.71	0.38	0.55	-0.54	0.0698	0.390	(B) Mesenchymal
TERF2IP	16q23.1	0.42	0.13	0.34	0.24	0.29	0.0699	0.390	(A) Immunomodulatory
HLA-DQA2	6p21.32	0.83	0.17	0.84	0.40	0.66	0.0699	0.390	(A) Immunomodulatory
SKIC2	6p21.33	0.02	0.34	0.04	0.46	-0.32	0.0699	0.390	(B) Mesenchymal
ZNF45	19q13.31	0.06	0.37	0.12	0.44	-0.31	0.0700	0.390	(B) Mesenchymal
VANGL1	1p13.1	0.14	0.43	0.28	0.33	-0.29	0.0700	0.390	(B) Mesenchymal
POM121	7q11.23	0.11	0.51	0.28	0.52	-0.40	0.0701	0.390	(B) Mesenchymal
PCA3	9q21.2	0.01	0.69	0.02	0.82	-0.68	0.0702	0.391	(B) Mesenchymal
CD36	7q21.11	0.29	0.03	0.34	0.05	0.26	0.0702	0.391	(A) Immunomodulatory
CBX6	22q13.1	0.08	0.45	0.11	0.53	-0.37	0.0702	0.391	(B) Mesenchymal
NAXE	1q22	0.31	0.69	0.37	0.44	-0.38	0.0703	0.391	(B) Mesenchymal
PFKL	21q22.3	0.27	0.04	0.30	0.11	0.23	0.0703	0.391	(A) Immunomodulatory
GAS2L3	12q23.1	0.23	0.66	0.42	0.49	-0.43	0.0703	0.391	(B) Mesenchymal
RPL23AP7	2q14.1	0.12	0.51	0.33	0.48	-0.39	0.0703	0.391	(B) Mesenchymal
ABCC10	6p21.1	0.04	0.40	0.07	0.52	-0.36	0.0703	0.391	(B) Mesenchymal
ZEB2	2q22.3	0.43	0.07	0.46	0.14	0.36	0.0704	0.391	(A) Immunomodulatory
GANAB	11q12.3	0.22	0.59	0.31	0.47	-0.38	0.0704	0.391	(B) Mesenchymal
ERVK13-1	16p13.3	0.06	0.32	0.16	0.35	-0.26	0.0705	0.391	(B) Mesenchymal
FBXL19	16p11.2	0.07	0.35	0.14	0.39	-0.28	0.0706	0.391	(B) Mesenchymal
KGD4	5q13.2	0.35	0.13	0.25	0.21	0.22	0.0706	0.391	(A) Immunomodulatory
FAM110D	1p36.11	0.47	0.16	0.39	0.20	0.31	0.0706	0.391	(A) Immunomodulatory
S1PR3	9q22.1	0.11	0.47	0.26	0.47	-0.36	0.0706	0.391	(B) Mesenchymal
SGK1	6q23.2	0.58	0.15	0.51	0.34	0.42	0.0706	0.391	(A) Immunomodulatory
SMC2-DT	9q31.1	0.28	1.16	0.55	0.87	-0.89	0.0706	0.391	(B) Mesenchymal
BPIFB1	20q11.21	0.03	1.18	0.07	1.23	-1.15	0.0707	0.391	(B) Mesenchymal
TREM2	6p21.1	0.40	0.01	0.52	0.02	0.39	0.0707	0.391	(A) Immunomodulatory
KCNB1	20q13.13	0.34	1.27	0.68	1.21	-0.93	0.0707	0.391	(B) Mesenchymal
ABCA8	17q24.2	0.91	0.31	0.69	0.58	0.61	0.0707	0.392	(A) Immunomodulatory
MAPK12	22q13.33	0.25	0.89	0.29	0.90	-0.64	0.0708	0.392	(B) Mesenchymal
SCLT1	4q28.2	0.43	0.14	0.35	0.25	0.29	0.0708	0.392	(A) Immunomodulatory
TMEM71	8q24.22	0.73	0.20	0.67	0.35	0.53	0.0708	0.392	(A) Immunomodulatory
ZNF252P	8q24.3	0.11	0.45	0.22	0.46	-0.34	0.0708	0.392	(B) Mesenchymal
HMGB1	13q12.3	0.40	0.12	0.36	0.14	0.28	0.0709	0.392	(A) Immunomodulatory
H4C5	6p22.2	0.34	0.91	0.38	0.75	-0.56	0.0709	0.392	(B) Mesenchymal
LPAR6	13q14.2	0.48	0.09	0.48	0.28	0.38	0.0709	0.392	(A) Immunomodulatory
RACGAP1	12q13.12	0.14	0.47	0.28	0.40	-0.32	0.0709	0.392	(B) Mesenchymal
ATP2A1	16p11.2	0.20	0.75	0.38	0.73	-0.55	0.0710	0.392	(B) Mesenchymal
RSAD2	2p25.2	0.87	0.28	0.65	0.56	0.58	0.0710	0.392	(A) Immunomodulatory
B4GALT6	18q12.1	0.10	0.44	0.24	0.45	-0.34	0.0711	0.392	(B) Mesenchymal
CD300C	17q25.1	0.45	0.01	0.59	0.04	0.44	0.0711	0.392	(A) Immunomodulatory
PRR7	5q35.3	0.21	0.70	0.41	0.62	-0.49	0.0711	0.392	(B) Mesenchymal
ISCA2	14q24.3	0.43	0.08	0.46	0.16	0.35	0.0711	0.392	(A) Immunomodulatory
EID2	19q13.2	0.12	0.40	0.17	0.39	-0.28	0.0712	0.392	(B) Mesenchymal
BACH2	6q15	0.68	0.23	0.46	0.50	0.45	0.0712	0.392	(A) Immunomodulatory
IGF1R	15q26.3	0.11	0.62	0.27	0.72	-0.52	0.0712	0.392	(B) Mesenchymal
ATXN7L2	1p13.3	0.16	0.55	0.35	0.47	-0.39	0.0713	0.392	(B) Mesenchymal
PDK3	Xp22.11	0.30	0.75	0.35	0.58	-0.45	0.0713	0.392	(B) Mesenchymal
RABIF	1q32.1	0.03	0.20	0.09	0.23	-0.17	0.0713	0.392	(B) Mesenchymal
COL6A6	3q22.1	1.09	0.50	0.59	0.66	0.59	0.0713	0.392	(A) Immunomodulatory
MOSPD3	7q22.1	0.16	0.44	0.20	0.38	-0.29	0.0713	0.392	(B) Mesenchymal
TTPAL	20q13.12	0.04	0.36	0.09	0.45	-0.32	0.0714	0.392	(B) Mesenchymal
SLC2A14	12p13.31	1.20	0.32	0.89	0.70	0.88	0.0714	0.392	(A) Immunomodulatory
TMEM115	3p21.31	0.11	0.43	0.20	0.43	-0.31	0.0715	0.393	(B) Mesenchymal
ANKRD26P1	16q11.2	0.90	0.18	0.67	0.36	0.72	0.0715	0.393	(A) Immunomodulatory
CNTFR	9p13.3	0.37	1.27	0.67	1.19	-0.90	0.0715	0.393	(B) Mesenchymal
TTC3P1	Xq13.3	0.10	0.52	0.28	0.56	-0.42	0.0717	0.393	(B) Mesenchymal
RNASEL	1q25.3	0.31	0.01	0.39	0.04	0.30	0.0717	0.393	(A) Immunomodulatory
BRD8	5q31.2	0.03	0.39	0.07	0.53	-0.37	0.0717	0.394	(B) Mesenchymal
KLHL21	1p36.31	0.15	0.52	0.23	0.51	-0.37	0.0718	0.394	(B) Mesenchymal
CDC42EP1	22q13.1	0.04	0.30	0.10	0.37	-0.26	0.0718	0.394	(B) Mesenchymal
MRPL15	8q11.23	0.21	0.59	0.30	0.50	-0.39	0.0720	0.394	(B) Mesenchymal
DTX4	11q12.1	0.10	0.54	0.17	0.63	-0.45	0.0720	0.394	(B) Mesenchymal
ZNF582	19q13.43	0.12	0.43	0.22	0.42	-0.31	0.0721	0.395	(B) Mesenchymal
ZFP91	11q12.1	0.09	0.29	0.14	0.26	-0.20	0.0721	0.395	(B) Mesenchymal
FERMT1	20p12.3	0.34	0.94	0.47	0.76	-0.59	0.0722	0.395	(B) Mesenchymal
BRD7	16q12.1	0.48	0.11	0.48	0.14	0.37	0.0722	0.395	(A) Immunomodulatory
WDR62	19q13.12	0.21	0.74	0.39	0.70	-0.53	0.0722	0.395	(B) Mesenchymal
TRAPPC8	18q12.1	0.07	0.41	0.13	0.49	-0.34	0.0722	0.395	(B) Mesenchymal
SLC29A4	7p22.1	0.13	0.60	0.32	0.62	-0.46	0.0722	0.395	(B) Mesenchymal
RFX8	2q11.2	0.02	0.37	0.04	0.52	-0.36	0.0722	0.395	(B) Mesenchymal
PRR13	12q13.13	0.29	0.07	0.29	0.13	0.22	0.0723	0.395	(A) Immunomodulatory
PCBP4	3p21.2	0.13	0.47	0.17	0.46	-0.33	0.0723	0.395	(B) Mesenchymal
MAPK10	4q21.3	0.27	0.84	0.47	0.74	-0.58	0.0724	0.395	(B) Mesenchymal
MMP3	11q22.2	0.91	0.26	0.71	0.68	0.65	0.0724	0.395	(A) Immunomodulatory
IDO2	8p11.21	0.72	0.20	0.56	0.47	0.52	0.0724	0.395	(A) Immunomodulatory
XK	Xp21.1	0.23	0.68	0.39	0.56	-0.45	0.0725	0.395	(B) Mesenchymal
QTRT2	3q13.31	0.06	0.25	0.10	0.26	-0.18	0.0725	0.395	(B) Mesenchymal
NR6A1	9q33.3	0.02	0.36	0.05	0.48	-0.33	0.0725	0.395	(B) Mesenchymal
WDR89	14q23.2	0.38	0.09	0.35	0.21	0.28	0.0725	0.395	(A) Immunomodulatory
UNK	17q25.1	0.09	0.36	0.15	0.38	-0.27	0.0726	0.395	(B) Mesenchymal
CUL3	2q36.2	0.07	0.28	0.16	0.27	-0.21	0.0726	0.395	(B) Mesenchymal
B3GALNT2	1q42.3	0.11	0.35	0.17	0.32	-0.24	0.0726	0.395	(B) Mesenchymal
SSC5D	19q13.42	0.10	0.53	0.29	0.58	-0.43	0.0726	0.395	(B) Mesenchymal
FBXO21	12q24.22	0.13	0.48	0.18	0.50	-0.35	0.0726	0.395	(B) Mesenchymal
TCF7L1	2p11.2	0.21	0.70	0.47	0.59	-0.50	0.0727	0.395	(B) Mesenchymal
PEX2	8q21.13	0.13	0.53	0.22	0.56	-0.40	0.0728	0.396	(B) Mesenchymal
PDC-AS1	1q31.1	0.10	0.54	0.13	0.54	-0.45	0.0728	0.396	(B) Mesenchymal
RPS27L	15q22.2	0.38	0.06	0.42	0.13	0.32	0.0729	0.396	(A) Immunomodulatory
IL27RA	19p13.12	0.71	0.14	0.74	0.27	0.57	0.0730	0.396	(A) Immunomodulatory
FAM219A	9p13.3	0.05	0.37	0.10	0.46	-0.32	0.0730	0.396	(B) Mesenchymal
GPR146	7p22.3	0.54	0.20	0.39	0.32	0.34	0.0730	0.396	(A) Immunomodulatory
USO1	4q21.1	0.29	0.09	0.23	0.19	0.20	0.0730	0.396	(A) Immunomodulatory
ORC2	2q33.1	0.08	0.38	0.15	0.41	-0.30	0.0730	0.396	(B) Mesenchymal
MIR4458HG	5p15.31	0.39	0.93	0.50	0.66	-0.54	0.0731	0.397	(B) Mesenchymal
PLXNA3	Xq28	0.11	0.53	0.23	0.58	-0.42	0.0732	0.397	(B) Mesenchymal
SSBP3-AS1	1p32.3	0.09	0.61	0.18	0.75	-0.52	0.0732	0.397	(B) Mesenchymal
MSX1	4p16.2	0.06	0.37	0.12	0.43	-0.30	0.0733	0.397	(B) Mesenchymal
RTP4	3q27.3	1.12	0.50	0.50	0.79	0.61	0.0733	0.397	(A) Immunomodulatory
CRIM1	2p22.2	0.14	0.55	0.25	0.55	-0.40	0.0733	0.397	(B) Mesenchymal
TNFRSF10A-DT	8p21.3	0.58	0.22	0.32	0.45	0.36	0.0733	0.397	(A) Immunomodulatory
CNOT11	2q11.2	0.08	0.26	0.12	0.25	-0.19	0.0734	0.397	(B) Mesenchymal
MATCAP1	16q22.1	0.05	0.23	0.15	0.21	-0.17	0.0734	0.397	(B) Mesenchymal
CYP2J2	1p32.1	0.09	0.52	0.26	0.59	-0.43	0.0734	0.397	(B) Mesenchymal
CCND3	6p21.1	0.38	0.13	0.31	0.20	0.25	0.0734	0.397	(A) Immunomodulatory
STX3	11q12.1	0.13	0.48	0.28	0.45	-0.35	0.0734	0.397	(B) Mesenchymal
BCL2L1	20q11.21	0.26	0.01	0.34	0.02	0.25	0.0735	0.397	(A) Immunomodulatory
SLC9B1	4q24	0.46	0.10	0.42	0.30	0.36	0.0736	0.397	(A) Immunomodulatory
PIP5K1C	19p13.3	0.05	0.39	0.10	0.49	-0.34	0.0736	0.398	(B) Mesenchymal
IFIT1B	10q23.31	0.54	0.03	0.56	0.06	0.52	0.0736	0.398	(A) Immunomodulatory
PPEF1	Xp22.13	0.01	0.32	0.02	0.45	-0.31	0.0737	0.398	(B) Mesenchymal
CSNK1E	22q13.1	0.05	0.34	0.13	0.41	-0.29	0.0737	0.398	(B) Mesenchymal
RFXANK	19p13.11	0.42	0.13	0.36	0.19	0.28	0.0738	0.398	(A) Immunomodulatory
APOC2	19q13.32	0.58	0.06	0.70	0.12	0.52	0.0739	0.398	(A) Immunomodulatory
OBI1-AS1	13q22.3-q31.1	0.04	0.45	0.04	0.60	-0.41	0.0739	0.398	(B) Mesenchymal
P2RY6	11q13.4	0.62	0.22	0.33	0.51	0.40	0.0739	0.398	(A) Immunomodulatory
PLEKHA7	11p15	0.11	0.39	0.27	0.34	-0.28	0.0740	0.398	(B) Mesenchymal
USP14	18p11.32	0.08	0.41	0.12	0.47	-0.33	0.0740	0.398	(B) Mesenchymal
DSTYK	1q32.1	0.09	0.41	0.17	0.45	-0.32	0.0740	0.398	(B) Mesenchymal
GOLGA7	8p11.21	0.12	0.45	0.16	0.48	-0.34	0.0740	0.398	(B) Mesenchymal
VPS26B	11q25	0.09	0.39	0.13	0.44	-0.31	0.0741	0.398	(B) Mesenchymal
ITPRID2	2q31.3	0.12	0.49	0.24	0.49	-0.36	0.0741	0.398	(B) Mesenchymal
SLC35G2	3q22.3	0.12	0.44	0.13	0.46	-0.32	0.0741	0.398	(B) Mesenchymal
VMAC	19p13.3	0.04	0.23	0.11	0.27	-0.19	0.0741	0.398	(B) Mesenchymal
EXOC2	6p25.3	0.28	0.09	0.24	0.14	0.19	0.0741	0.398	(A) Immunomodulatory
MUS81	11q13	0.14	0.37	0.21	0.28	-0.23	0.0741	0.398	(B) Mesenchymal
ZBED3	5q13.3	0.07	0.38	0.13	0.45	-0.31	0.0741	0.398	(B) Mesenchymal
KAT2B	3p24.3	0.57	0.18	0.47	0.36	0.39	0.0742	0.398	(A) Immunomodulatory
NUP155	5p13.2	0.13	0.51	0.37	0.45	-0.38	0.0742	0.398	(B) Mesenchymal
EFNA4	1q21.3	0.32	0.68	0.34	0.43	-0.36	0.0742	0.398	(B) Mesenchymal
SLFNL1	1p34.2	0.18	0.58	0.32	0.49	-0.39	0.0743	0.398	(B) Mesenchymal
MAP2	2q34	0.22	0.79	0.46	0.74	-0.57	0.0743	0.398	(B) Mesenchymal
SLC35D1	1p31.3	0.06	0.28	0.17	0.28	-0.22	0.0743	0.398	(B) Mesenchymal
TICRR	15q26.1	0.19	0.74	0.35	0.75	-0.55	0.0743	0.398	(B) Mesenchymal
NUBP1	16p13.13	0.38	0.12	0.31	0.21	0.26	0.0743	0.398	(A) Immunomodulatory
MBD4	3q21.3	0.33	0.09	0.27	0.21	0.23	0.0744	0.399	(A) Immunomodulatory
C20ORF203	20q11.21	0.07	0.61	0.16	0.78	-0.54	0.0744	0.399	(B) Mesenchymal
NFE2L2	2q31.2	0.33	0.06	0.36	0.10	0.27	0.0745	0.399	(A) Immunomodulatory
TMEM254	10q22.3	0.17	0.48	0.25	0.41	-0.31	0.0745	0.399	(B) Mesenchymal
PDXDC1	16p13.11	0.12	0.37	0.24	0.31	-0.25	0.0745	0.399	(B) Mesenchymal
FAM180A	7q33	0.36	1.15	0.83	0.89	-0.80	0.0746	0.399	(B) Mesenchymal
PNPLA6	19p13.2	0.30	0.05	0.33	0.12	0.25	0.0746	0.399	(A) Immunomodulatory
NOS2P3	17p11.2	0.15	0.66	0.24	0.60	-0.51	0.0746	0.399	(B) Mesenchymal
CXCL6	4q13.3	0.81	0.19	0.77	0.47	0.61	0.0747	0.399	(A) Immunomodulatory
ZNF211	19q13.43	0.04	0.27	0.12	0.32	-0.23	0.0747	0.399	(B) Mesenchymal
AACS	12q24.31	0.18	0.50	0.27	0.43	-0.33	0.0747	0.399	(B) Mesenchymal
EBF4	20p13	0.11	0.49	0.21	0.53	-0.38	0.0747	0.399	(B) Mesenchymal
CATSPER1	11q13.1	0.37	0.08	0.38	0.17	0.29	0.0748	0.399	(A) Immunomodulatory
LINC02912	8q24.21	0.25	0.69	0.35	0.57	-0.44	0.0748	0.399	(B) Mesenchymal
IPW	15q11.2	0.11	0.58	0.21	0.66	-0.46	0.0748	0.399	(B) Mesenchymal
MYH6	14q11.2	0.99	0.28	0.56	0.54	0.71	0.0748	0.399	(A) Immunomodulatory
FAM234B	12p13.1	0.03	0.40	0.08	0.53	-0.36	0.0748	0.399	(B) Mesenchymal
CCNYL4	10p11.1	0.68	0.12	0.32	0.21	0.56	0.0749	0.399	(A) Immunomodulatory
CNDP2	18q22.3	0.25	0.05	0.26	0.10	0.20	0.0750	0.399	(A) Immunomodulatory
LINC02097	17q24.3	0.25	0.77	0.47	0.63	-0.51	0.0750	0.399	(B) Mesenchymal
FRAS1	4q21.21	0.23	0.80	0.48	0.73	-0.57	0.0750	0.399	(B) Mesenchymal
C2CD3	11q13.4	0.05	0.29	0.09	0.34	-0.23	0.0751	0.400	(B) Mesenchymal
AMIGO3	3p21.31	0.11	0.65	0.27	0.77	-0.54	0.0751	0.400	(B) Mesenchymal
TRPS1	8q23.3	0.16	0.61	0.31	0.61	-0.45	0.0752	0.400	(B) Mesenchymal
TYW2	8q24.13	0.15	0.48	0.27	0.44	-0.34	0.0752	0.400	(B) Mesenchymal
DCHS1	11p15.4	0.04	0.46	0.09	0.61	-0.42	0.0752	0.400	(B) Mesenchymal
IL27	16p12.1-p11.2	0.69	0.27	0.51	0.36	0.43	0.0753	0.400	(A) Immunomodulatory
MRPL36	5p15.33	0.13	0.55	0.33	0.54	-0.42	0.0753	0.400	(B) Mesenchymal
NPEPL1	20q13.32	0.00	0.10	0.01	0.15	-0.10	0.0755	0.401	(B) Mesenchymal
NPY	7p15.3	0.08	1.09	0.11	1.11	-1.01	0.0755	0.401	(B) Mesenchymal
TENT4A	5p15.31	0.26	0.67	0.31	0.53	-0.40	0.0756	0.401	(B) Mesenchymal
SH2B1	16p11.2	0.04	0.28	0.08	0.34	-0.24	0.0756	0.401	(B) Mesenchymal
PLEKHO2	15q22.31	0.43	0.05	0.51	0.10	0.38	0.0756	0.401	(A) Immunomodulatory
CLIP3	19q13.12	0.05	0.26	0.08	0.31	-0.22	0.0756	0.401	(B) Mesenchymal
DSEL	18q22.1	0.13	0.47	0.24	0.46	-0.34	0.0757	0.401	(B) Mesenchymal
IGFBP4	17q21.2	0.43	0.08	0.44	0.25	0.35	0.0757	0.402	(A) Immunomodulatory
CHURC1	14q23.3	0.32	0.06	0.34	0.13	0.26	0.0758	0.402	(A) Immunomodulatory
GON4L	1q22	0.03	0.30	0.07	0.40	-0.27	0.0759	0.402	(B) Mesenchymal
CPLANE1	5p13.2	0.07	0.45	0.20	0.53	-0.37	0.0759	0.402	(B) Mesenchymal
STRADB	2q33.1	0.06	0.47	0.18	0.58	-0.40	0.0760	0.402	(B) Mesenchymal
C19ORF73	19q13.33	0.24	0.69	0.45	0.54	-0.46	0.0760	0.402	(B) Mesenchymal
ID2	2p25.1	0.63	0.27	0.27	0.47	0.36	0.0760	0.402	(A) Immunomodulatory
RGS14	5q35.3	0.40	0.07	0.44	0.15	0.33	0.0760	0.402	(A) Immunomodulatory
ANKRD63	15q15.1	0.27	0.85	0.30	0.80	-0.59	0.0761	0.402	(B) Mesenchymal
RB1CC1	8q11.23	0.20	0.51	0.25	0.42	-0.32	0.0761	0.402	(B) Mesenchymal
ZNF582-DT	19q13.43	0.24	0.64	0.34	0.50	-0.39	0.0761	0.403	(B) Mesenchymal
NPR3	5p13.3	0.24	0.97	0.44	1.01	-0.73	0.0762	0.403	(B) Mesenchymal
POLR2M	15q21.3	0.21	0.05	0.21	0.10	0.16	0.0762	0.403	(A) Immunomodulatory
DNMT3A	2p23.3	0.15	0.50	0.31	0.44	-0.35	0.0763	0.403	(B) Mesenchymal
H2BC26	1q42.13	0.11	0.59	0.17	0.64	-0.48	0.0763	0.403	(B) Mesenchymal
CNOT8	5q33.2	0.29	0.11	0.15	0.24	0.19	0.0763	0.403	(A) Immunomodulatory
MGAT4A	2q11.2	0.40	0.05	0.46	0.16	0.35	0.0764	0.403	(A) Immunomodulatory
ALG6	1p31.3	0.13	0.33	0.18	0.25	-0.20	0.0764	0.403	(B) Mesenchymal
UBQLNL	11p15.4	0.61	0.07	0.72	0.20	0.54	0.0765	0.403	(A) Immunomodulatory
GPM6B	Xp22.2	0.32	0.84	0.49	0.64	-0.52	0.0767	0.405	(B) Mesenchymal
PLXNC1	12q22	0.48	0.07	0.54	0.22	0.41	0.0768	0.405	(A) Immunomodulatory
DNAJB2	2q35	0.09	0.38	0.27	0.34	-0.28	0.0768	0.405	(B) Mesenchymal
TMC3-AS1	15q25.1	0.48	0.12	0.43	0.31	0.36	0.0768	0.405	(A) Immunomodulatory
LPIN1	2p25.1	0.33	0.82	0.28	0.69	-0.49	0.0769	0.405	(B) Mesenchymal
SYT2	1q32.1	0.09	0.63	0.14	0.79	-0.54	0.0769	0.405	(B) Mesenchymal
TMEM179B	11q12.3	0.12	0.36	0.19	0.32	-0.24	0.0769	0.405	(B) Mesenchymal
WNT2	7q31.2	0.62	0.17	0.56	0.36	0.45	0.0769	0.405	(A) Immunomodulatory
CBFB	16q22.1	0.33	0.10	0.29	0.16	0.23	0.0769	0.405	(A) Immunomodulatory
DTD1	20p11.23	0.11	0.43	0.20	0.44	-0.32	0.0770	0.405	(B) Mesenchymal
ACKR5	12q13.3	0.67	0.16	0.55	0.29	0.51	0.0770	0.405	(A) Immunomodulatory
PFN4	2p23.3	0.15	0.56	0.29	0.56	-0.41	0.0770	0.405	(B) Mesenchymal
SNRPB	20p13	0.19	0.51	0.27	0.43	-0.33	0.0771	0.405	(B) Mesenchymal
TUBA3D	2q21.1	0.13	0.55	0.29	0.57	-0.41	0.0771	0.405	(B) Mesenchymal
MINDY2	15q21.3-q22.1	0.25	0.06	0.23	0.15	0.18	0.0771	0.405	(A) Immunomodulatory
PLXNB2	22q13.33	0.02	0.37	0.04	0.51	-0.34	0.0771	0.405	(B) Mesenchymal
COBLL1	2q24.3	0.08	0.33	0.15	0.36	-0.26	0.0772	0.405	(B) Mesenchymal
TAS1R1	1p36.31	0.29	0.82	0.33	0.73	-0.54	0.0772	0.405	(B) Mesenchymal
ST6GALNAC4	9q34.11	0.76	0.24	0.66	0.39	0.52	0.0772	0.405	(A) Immunomodulatory
KMT5C	19q13.42	0.10	0.43	0.24	0.45	-0.33	0.0773	0.405	(B) Mesenchymal
MARVELD2	5q13.2	0.04	0.31	0.11	0.39	-0.27	0.0773	0.405	(B) Mesenchymal
SF1	11q13.1	0.05	0.33	0.08	0.40	-0.28	0.0773	0.405	(B) Mesenchymal
CADPS	3p14.2	0.00	0.26	0.01	0.38	-0.25	0.0773	0.406	(B) Mesenchymal
RAB11FIP3	16p13.3	0.05	0.30	0.15	0.35	-0.25	0.0774	0.406	(B) Mesenchymal
TFDP2	3q23	0.17	0.56	0.29	0.52	-0.39	0.0774	0.406	(B) Mesenchymal
SLC40A1	2q32.2	0.34	0.05	0.40	0.10	0.29	0.0774	0.406	(A) Immunomodulatory
PLBD1-AS1	12p13.1-p12.3	0.04	0.48	0.10	0.64	-0.44	0.0775	0.406	(B) Mesenchymal
MRPL30	2q11.2	0.09	0.31	0.19	0.27	-0.21	0.0776	0.406	(B) Mesenchymal
TTC39C	18q11.2	0.52	0.18	0.30	0.42	0.34	0.0777	0.406	(A) Immunomodulatory
ARFGEF1	8q13.2	0.04	0.40	0.09	0.52	-0.36	0.0777	0.406	(B) Mesenchymal
EMILIN2	18p11.32-p11.31	0.45	0.04	0.56	0.13	0.41	0.0777	0.406	(A) Immunomodulatory
PABPC1	8q22.3	0.24	0.72	0.34	0.66	-0.48	0.0778	0.406	(B) Mesenchymal
SFMBT1	3p21.1	0.08	0.41	0.15	0.48	-0.33	0.0778	0.406	(B) Mesenchymal
SARAF	8p12	0.53	0.19	0.37	0.36	0.34	0.0778	0.406	(A) Immunomodulatory
TRIP6	7q22.1	0.12	0.40	0.27	0.33	-0.28	0.0778	0.406	(B) Mesenchymal
CWC27	5q12.3	0.39	0.12	0.33	0.24	0.27	0.0778	0.406	(A) Immunomodulatory
SLC25A34	1p36.21	0.05	0.26	0.10	0.29	-0.20	0.0778	0.406	(B) Mesenchymal
