Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
TNFRSF17	16p13.13	1.66	0.06	0.74	0.17	1.60	4.013e-4	0.0340	(A) Immunomodulatory
NUGGC	8p21.1	1.53	0.05	0.69	0.15	1.48	4.042e-4	0.0341	(A) Immunomodulatory
CCL22	16q21	1.21	0.14	0.52	0.20	1.07	4.083e-4	0.0343	(A) Immunomodulatory
FCRL1	1q23.1	1.50	0.03	0.67	0.09	1.47	4.108e-4	0.0344	(A) Immunomodulatory
FASLG	1q24.3	1.37	0.15	0.60	0.28	1.23	4.138e-4	0.0345	(A) Immunomodulatory
LINC00518	6p24.3	0.15	1.56	0.37	0.69	-1.41	4.213e-4	0.0349	(B) Mesenchymal
ARHGAP25	2p13.3	0.92	0.01	0.41	0.03	0.91	4.232e-4	0.0350	(A) Immunomodulatory
MZB1	5q31.2	1.82	0.13	0.82	0.29	1.69	4.273e-4	0.0350	(A) Immunomodulatory
CD180	5q12.3	1.05	0.01	0.47	0.03	1.03	4.277e-4	0.0350	(A) Immunomodulatory
LPXN	11q12.1	0.85	0.02	0.38	0.07	0.82	4.357e-4	0.0353	(A) Immunomodulatory
TSPAN32	11p15.5	1.05	0.01	0.47	0.04	1.03	4.357e-4	0.0353	(A) Immunomodulatory
SPIB	19q13.33	1.70	0.34	0.40	0.75	1.35	4.381e-4	0.0353	(A) Immunomodulatory
KLRG1	12p13.31	1.00	0.01	0.45	0.03	0.99	4.451e-4	0.0357	(A) Immunomodulatory
IFNG	12q15	1.53	0.09	0.69	0.18	1.44	4.502e-4	0.0359	(A) Immunomodulatory
LINC01550	14q32.2	1.01	0.18	0.35	0.38	0.83	4.552e-4	0.0361	(A) Immunomodulatory
IKZF1	7p12.2	0.98	0.01	0.45	0.02	0.97	4.611e-4	0.0364	(A) Immunomodulatory
CLECL1	12p13.31	1.00	0.01	0.45	0.03	0.99	4.652e-4	0.0366	(A) Immunomodulatory
CLEC2D	12p13.31	1.05	0.06	0.48	0.16	0.99	4.699e-4	0.0368	(A) Immunomodulatory
LINC00582	1q42.2	1.41	0.14	0.61	0.31	1.27	4.842e-4	0.0377	(A) Immunomodulatory
IGLL5	22q11.22	1.75	0.19	0.79	0.38	1.55	5.019e-4	0.0388	(A) Immunomodulatory
CCR2	3p21.31	1.39	0.07	0.63	0.15	1.31	5.225e-4	0.0401	(A) Immunomodulatory
SSTR3	22q13.1	1.50	0.10	0.69	0.19	1.40	5.249e-4	0.0401	(A) Immunomodulatory
XXYLT1-AS2	3q29	1.09	0.05	0.51	0.13	1.04	5.349e-4	0.0407	(A) Immunomodulatory
CHRNA6	8p11.21	0.99	0.00	0.46	0.01	0.98	5.420e-4	0.0411	(A) Immunomodulatory
APOBEC3G	22q13.1	1.10	0.03	0.51	0.06	1.07	5.447e-4	0.0412	(A) Immunomodulatory
CARINH	5q31.1	0.96	0.02	0.45	0.06	0.94	5.556e-4	0.0418	(A) Immunomodulatory
ZNF471	19q13.43	0.07	0.66	0.19	0.34	-0.59	5.653e-4	0.0424	(B) Mesenchymal
KLRB1	12p13.31	1.16	0.14	0.53	0.28	1.02	5.692e-4	0.0425	(A) Immunomodulatory
EAF2	3q13.33	1.34	0.02	0.63	0.07	1.32	5.809e-4	0.0431	(A) Immunomodulatory
STX11	6q24.2	0.94	0.04	0.44	0.09	0.90	5.817e-4	0.0431	(A) Immunomodulatory
SLC8A1-AS1	2p22.1	1.21	0.34	0.43	0.38	0.87	5.863e-4	0.0433	(A) Immunomodulatory
