Gene	Cytoband	(A) BRCA_Basal	(B) BRCA_Normal	(A) BRCA_Basal	(B) BRCA_Normal	Log2 Ratio	p-Value	q-Value	Higher expression in
PIGW	17q12	8.09	7.72	0.58	0.44	0.37	6.195e-5	2.289e-4	(A) BRCA_Basal
CIDEC	3p25.3	3.76	6.11	2.43	2.99	-2.35	6.200e-5	2.290e-4	(B) BRCA_Normal
SLC35E2B	1p36.33	10.61	11.08	0.67	0.57	-0.47	6.213e-5	2.294e-4	(B) BRCA_Normal
OR5K2	3q11.2	0.41	0.87	0.49	0.58	-0.46	6.214e-5	2.294e-4	(B) BRCA_Normal
MIIP	1p36.22	9.12	8.58	0.83	0.64	0.53	6.222e-5	2.297e-4	(A) BRCA_Basal
ZC3H10	12q13.2	7.22	7.52	0.45	0.37	-0.30	6.226e-5	2.298e-4	(B) BRCA_Normal
SCML1	Xp22.13	6.64	7.31	1.33	0.74	-0.67	6.242e-5	2.303e-4	(B) BRCA_Normal
MAD2L2	1p36.22	9.60	9.08	0.85	0.62	0.52	6.245e-5	2.304e-4	(A) BRCA_Basal
CIMAP1C	15q24.2	1.99	3.06	1.20	1.35	-1.07	6.248e-5	2.305e-4	(B) BRCA_Normal
CCDC160	Xq26.2	3.55	4.89	1.73	1.67	-1.34	6.250e-5	2.305e-4	(B) BRCA_Normal
SOX30	5q33.3	2.76	1.87	1.55	1.04	0.89	6.253e-5	2.306e-4	(A) BRCA_Basal
INTU	4q28.1	6.00	6.63	0.93	0.75	-0.62	6.264e-5	2.309e-4	(B) BRCA_Normal
SBK1	16p12.1	9.40	8.48	1.32	1.12	0.92	6.271e-5	2.312e-4	(A) BRCA_Basal
NDUFB9	8q24.13	11.95	11.25	0.84	0.88	0.70	6.295e-5	2.320e-4	(A) BRCA_Basal
APIP	11p13	8.77	8.32	0.73	0.55	0.46	6.302e-5	2.322e-4	(A) BRCA_Basal
TPD52L2	20q13.33	11.69	11.38	0.46	0.38	0.31	6.336e-5	2.334e-4	(A) BRCA_Basal
CENPBD2P	19q13.43	8.87	9.16	0.55	0.33	-0.29	6.339e-5	2.335e-4	(B) BRCA_Normal
SENP2	3q27.2	9.63	9.33	0.52	0.35	0.30	6.342e-5	2.336e-4	(A) BRCA_Basal
POM121	7q11.23	11.25	10.94	0.50	0.37	0.31	6.391e-5	2.353e-4	(A) BRCA_Basal
IFIH1	2q24.2	10.36	9.59	1.37	0.90	0.77	6.398e-5	2.355e-4	(A) BRCA_Basal
DENND5B	12p11.21	7.18	7.83	1.18	0.74	-0.64	6.418e-5	2.362e-4	(B) BRCA_Normal
ACADS	12q24.31	7.77	8.40	0.88	0.78	-0.63	6.444e-5	2.371e-4	(B) BRCA_Normal
GPBP1	5q11.2	10.81	11.04	0.47	0.25	-0.23	6.446e-5	2.372e-4	(B) BRCA_Normal
MOSPD1	Xq26.3	8.32	7.99	0.51	0.40	0.33	6.454e-5	2.374e-4	(A) BRCA_Basal
CYP11A1	15q24.1	3.69	4.70	1.88	1.16	-1.01	6.484e-5	2.385e-4	(B) BRCA_Normal
COPS5	8q13.1	10.64	10.21	0.57	0.55	0.44	6.490e-5	2.386e-4	(A) BRCA_Basal
RGL1	1q25.3	9.03	9.61	0.91	0.70	-0.58	6.505e-5	2.392e-4	(B) BRCA_Normal
UCN3	10p15.1	0.20	0.01	0.59	0.07	0.19	6.509e-5	2.393e-4	(A) BRCA_Basal
PLSCR5	3q24	0.54	0.14	0.79	0.44	0.39	6.518e-5	2.396e-4	(A) BRCA_Basal
MROH7	1p32.3	3.52	4.50	1.44	1.19	-0.97	6.529e-5	2.399e-4	(B) BRCA_Normal
OR52N4	11p15.4	1.02	1.75	0.99	0.91	-0.73	6.561e-5	2.410e-4	(B) BRCA_Normal
SPMIP8	16q21	1.05	2.06	1.26	1.27	-1.01	6.565e-5	2.411e-4	(B) BRCA_Normal
ZNF395	8p21.1	10.08	10.58	0.70	0.63	-0.51	6.576e-5	2.415e-4	(B) BRCA_Normal
PCDHGA11	5q31.3	3.76	4.72	1.35	1.18	-0.96	6.577e-5	2.415e-4	(B) BRCA_Normal
MFSD8	4q28.2	7.90	8.20	0.53	0.36	-0.31	6.578e-5	2.415e-4	(B) BRCA_Normal
IK	5q31.3	10.63	10.84	0.42	0.24	-0.22	6.593e-5	2.420e-4	(B) BRCA_Normal
MMP1	11q22.2	8.81	6.25	2.67	3.27	2.56	6.607e-5	2.424e-4	(A) BRCA_Basal
ESRRG	1q41	5.37	6.89	2.11	1.86	-1.51	6.622e-5	2.429e-4	(B) BRCA_Normal
SCG2	2q36.1	4.63	6.17	1.50	1.97	-1.53	6.653e-5	2.441e-4	(B) BRCA_Normal
SMS	Xp22.11	11.39	10.86	0.63	0.67	0.53	6.671e-5	2.447e-4	(A) BRCA_Basal
LOC646999	7p14.1	3.74	4.30	0.99	0.66	-0.57	6.678e-5	2.449e-4	(B) BRCA_Normal
ARMCX5	Xq22.1	7.99	8.33	0.71	0.35	-0.33	6.682e-5	2.450e-4	(B) BRCA_Normal
PTCD1	7q22.1	8.92	8.48	0.58	0.55	0.44	6.683e-5	2.450e-4	(A) BRCA_Basal
RUSC1	1q22	10.38	9.87	0.69	0.62	0.50	6.708e-5	2.458e-4	(A) BRCA_Basal
RPP38-DT	10p13	3.08	2.44	0.89	0.79	0.64	6.710e-5	2.459e-4	(A) BRCA_Basal
NPM3	10q24.32	9.22	8.45	1.07	0.94	0.76	6.721e-5	2.462e-4	(A) BRCA_Basal
CCDC142	2p13.1	7.47	7.18	0.58	0.33	0.29	6.742e-5	2.469e-4	(A) BRCA_Basal
API5	11p12	11.47	11.16	0.53	0.36	0.31	6.749e-5	2.472e-4	(A) BRCA_Basal
NGF	1p13.2	3.16	4.23	1.65	1.30	-1.07	6.755e-5	2.473e-4	(B) BRCA_Normal
MFN1	3q26.33	10.00	9.54	0.61	0.58	0.46	6.805e-5	2.491e-4	(A) BRCA_Basal
ZYG11A	1p32.3	6.73	5.51	1.76	1.51	1.22	6.809e-5	2.492e-4	(A) BRCA_Basal
MYCBP2	13q22.3	10.32	10.92	0.91	0.74	-0.61	6.809e-5	2.492e-4	(B) BRCA_Normal
PCDH8	13q14.3	3.80	2.22	2.39	1.92	1.58	6.814e-5	2.493e-4	(A) BRCA_Basal
ATP5MF	7q22.1	11.20	10.55	0.76	0.82	0.65	6.847e-5	2.505e-4	(A) BRCA_Basal
KLF10	8q22.3	10.40	10.99	0.83	0.74	-0.59	6.864e-5	2.511e-4	(B) BRCA_Normal
FAM20B	1q25.2	11.06	10.64	0.58	0.51	0.42	6.868e-5	2.512e-4	(A) BRCA_Basal
FABP5P3	7q36.1	1.04	0.59	0.74	0.54	0.45	6.877e-5	2.515e-4	(A) BRCA_Basal
FBXL9P	16q22.1	5.06	5.73	0.83	0.85	-0.67	6.884e-5	2.516e-4	(B) BRCA_Normal
RTN4R	22q11.21	7.11	6.35	1.27	0.91	0.76	6.924e-5	2.531e-4	(A) BRCA_Basal
TUBD1	17q23.1	7.91	7.57	0.61	0.39	0.34	6.953e-5	2.541e-4	(A) BRCA_Basal
H3C2	6p22.2	1.69	0.78	1.10	1.14	0.90	6.962e-5	2.544e-4	(A) BRCA_Basal
ZNF184	6p22.1	8.39	7.97	0.75	0.49	0.42	6.966e-5	2.545e-4	(A) BRCA_Basal
PTPN13	4q21.3	8.78	9.51	1.23	0.87	-0.73	6.971e-5	2.546e-4	(B) BRCA_Normal
SUZ12	17q11.2	10.02	9.60	0.63	0.51	0.42	6.986e-5	2.551e-4	(A) BRCA_Basal
POLD4	11q13.2	9.47	10.04	0.74	0.71	-0.57	6.998e-5	2.555e-4	(B) BRCA_Normal
F2RL3	19p13.11	5.89	6.64	1.17	0.92	-0.76	7.053e-5	2.574e-4	(B) BRCA_Normal
POLR2B	4q12	11.43	11.08	0.64	0.41	0.35	7.085e-5	2.586e-4	(A) BRCA_Basal
NPPA	1p36.22	0.67	1.28	0.66	0.79	-0.61	7.090e-5	2.587e-4	(B) BRCA_Normal
BRD3OS	9q34.2	8.93	9.28	0.60	0.42	-0.35	7.098e-5	2.590e-4	(B) BRCA_Normal
ATG16L2	11q13.4	7.55	8.25	0.83	0.89	-0.70	7.113e-5	2.595e-4	(B) BRCA_Normal
ANKRD16	10p15.1	7.75	7.34	0.79	0.46	0.41	7.133e-5	2.601e-4	(A) BRCA_Basal
MT3	16q13	1.94	0.84	1.66	1.34	1.10	7.160e-5	2.610e-4	(A) BRCA_Basal
RPL7A	9q34.2	13.69	14.13	0.72	0.52	-0.44	7.162e-5	2.611e-4	(B) BRCA_Normal
ZW10	11q23.2	9.29	8.89	0.59	0.49	0.40	7.208e-5	2.627e-4	(A) BRCA_Basal
R3HDM2	12q13.3	10.04	10.29	0.47	0.29	-0.25	7.226e-5	2.633e-4	(B) BRCA_Normal
VMA21	Xq28	10.25	9.95	0.52	0.36	0.31	7.263e-5	2.646e-4	(A) BRCA_Basal
FN3KRP	17q25.3	10.01	9.62	0.63	0.48	0.40	7.272e-5	2.649e-4	(A) BRCA_Basal
RD3	1q32.3	0.30	1.14	0.68	1.09	-0.84	7.305e-5	2.661e-4	(B) BRCA_Normal
CRCP	7q11.21	10.08	9.84	0.44	0.28	0.24	7.326e-5	2.668e-4	(A) BRCA_Basal
TRIM16	17p12	9.55	9.06	0.91	0.56	0.49	7.328e-5	2.668e-4	(A) BRCA_Basal
FOXI2	10q26.2	1.38	2.24	1.27	1.06	-0.86	7.341e-5	2.672e-4	(B) BRCA_Normal
PDE8B	5q13.3	4.62	5.88	1.73	1.57	-1.26	7.347e-5	2.674e-4	(B) BRCA_Normal
OPRD1	1p35.3	0.99	0.35	1.48	0.64	0.64	7.347e-5	2.674e-4	(A) BRCA_Basal
ZFHX4	8q21.13	6.65	7.90	1.73	1.56	-1.25	7.368e-5	2.681e-4	(B) BRCA_Normal
TFDP3	Xq26.2	1.56	2.85	1.50	1.64	-1.28	7.380e-5	2.684e-4	(B) BRCA_Normal
CD1E	1q23.1	4.40	5.81	2.19	1.72	-1.41	7.387e-5	2.687e-4	(B) BRCA_Normal
VIP	6q25.2	0.83	1.52	0.76	0.88	-0.69	7.406e-5	2.693e-4	(B) BRCA_Normal
RAB24	5q35.3	8.51	9.09	0.86	0.71	-0.58	7.427e-5	2.700e-4	(B) BRCA_Normal
KIF9	3p21.31	6.42	6.92	0.80	0.61	-0.51	7.485e-5	2.721e-4	(B) BRCA_Normal
TRIM16L	17p11.2	7.44	6.88	1.15	0.63	0.57	7.494e-5	2.723e-4	(A) BRCA_Basal
TMEM273	10q11.23	3.37	4.58	1.35	1.55	-1.21	7.496e-5	2.724e-4	(B) BRCA_Normal
TRIM49	11q14.3	0.35	0.04	0.92	0.17	0.31	7.502e-5	2.725e-4	(A) BRCA_Basal
CFAP210	2q31.1	5.46	6.40	1.06	1.19	-0.93	7.503e-5	2.725e-4	(B) BRCA_Normal
ZNF230	19q13.31	6.51	6.87	0.71	0.41	-0.36	7.510e-5	2.727e-4	(B) BRCA_Normal
PCK1	20q13.31	2.26	4.35	2.28	2.68	-2.09	7.511e-5	2.727e-4	(B) BRCA_Normal
SHANK3	22q13.33	8.96	9.49	0.75	0.66	-0.53	7.515e-5	2.728e-4	(B) BRCA_Normal
TWSG1	18p11.22	9.69	10.21	0.85	0.63	-0.52	7.522e-5	2.730e-4	(B) BRCA_Normal
OTOR	20p12.1	0.19	1.20	0.47	1.35	-1.01	7.526e-5	2.731e-4	(B) BRCA_Normal
CKM	19q13.32	2.48	1.55	1.37	1.15	0.93	7.545e-5	2.738e-4	(A) BRCA_Basal
IRX4	5p15.33	4.32	5.99	3.11	1.93	-1.67	7.574e-5	2.748e-4	(B) BRCA_Normal
ABCE1	4q31.21	11.00	10.63	0.55	0.46	0.37	7.600e-5	2.756e-4	(A) BRCA_Basal
NPHP1	2q13	5.84	6.46	1.05	0.74	-0.62	7.601e-5	2.756e-4	(B) BRCA_Normal
GOLGA2P5	12q23.1	6.66	7.44	1.02	0.98	-0.78	7.610e-5	2.759e-4	(B) BRCA_Normal
DDX52	17q12	9.32	8.96	0.66	0.42	0.36	7.620e-5	2.762e-4	(A) BRCA_Basal
ZNF264	19q13.43	9.21	9.60	0.72	0.46	-0.40	7.631e-5	2.766e-4	(B) BRCA_Normal
CCDC169	13q13.3	3.00	1.97	1.45	1.28	1.03	7.639e-5	2.768e-4	(A) BRCA_Basal
ATP5MC3	2q31.1	11.83	11.47	0.68	0.41	0.36	7.641e-5	2.768e-4	(A) BRCA_Basal
SHISA4	1q32.1	7.25	7.89	1.25	0.72	-0.64	7.659e-5	2.774e-4	(B) BRCA_Normal
PRPF4	9q32	9.89	9.60	0.53	0.32	0.28	7.661e-5	2.774e-4	(A) BRCA_Basal
GEMIN6	2p22.1	8.06	7.50	0.64	0.72	0.56	7.670e-5	2.777e-4	(A) BRCA_Basal
MUTYH	1p34.1	7.90	7.39	0.74	0.63	0.51	7.675e-5	2.779e-4	(A) BRCA_Basal
MARS2	2q33.1	8.04	7.58	0.72	0.56	0.46	7.679e-5	2.780e-4	(A) BRCA_Basal
PARL	3q27.1	10.06	9.78	0.56	0.32	0.29	7.688e-5	2.782e-4	(A) BRCA_Basal
NKX2-5	5q35.1	3.90	2.10	3.03	2.16	1.80	7.703e-5	2.787e-4	(A) BRCA_Basal
HR	8p21.3	9.46	8.42	1.56	1.30	1.05	7.734e-5	2.798e-4	(A) BRCA_Basal
TRIM51	11q12.1	0.29	0.05	0.73	0.15	0.25	7.761e-5	2.807e-4	(A) BRCA_Basal
EIF3M	11p13	11.70	11.36	0.64	0.38	0.33	7.777e-5	2.812e-4	(A) BRCA_Basal
FITM2	20q13.12	5.10	5.75	0.80	0.83	-0.65	7.808e-5	2.823e-4	(B) BRCA_Normal
SIX4	14q23.1	8.30	7.65	0.88	0.82	0.65	7.809e-5	2.823e-4	(A) BRCA_Basal
PCLAF	15q22.31	8.52	7.42	0.92	1.44	1.09	7.835e-5	2.832e-4	(A) BRCA_Basal
PRMT1	19q13.33	11.40	10.97	0.66	0.53	0.43	7.836e-5	2.832e-4	(A) BRCA_Basal
MARCO	2q14.2	7.19	5.12	2.44	2.64	2.06	7.932e-5	2.866e-4	(A) BRCA_Basal
NFIC	19p13.3	9.24	9.77	0.86	0.65	-0.54	7.936e-5	2.867e-4	(B) BRCA_Normal
C14ORF180	14q32.33	1.31	3.07	1.76	2.29	-1.76	8.004e-5	2.891e-4	(B) BRCA_Normal
ZNF502	3p21.31	6.39	7.04	1.30	0.73	-0.65	8.013e-5	2.894e-4	(B) BRCA_Normal
CENPV	17p11.2	7.38	6.44	1.79	1.08	0.94	8.028e-5	2.898e-4	(A) BRCA_Basal
HSPA1B	6p21.33	11.34	10.61	0.77	0.94	0.73	8.029e-5	2.898e-4	(A) BRCA_Basal
TMEM30B	14q23.1	9.13	9.91	1.03	0.99	-0.78	8.047e-5	2.904e-4	(B) BRCA_Normal
ABCB4	7q21.12	3.92	4.75	1.17	1.04	-0.83	8.062e-5	2.909e-4	(B) BRCA_Normal
COG4	16q22.1	10.28	9.99	0.51	0.35	0.29	8.068e-5	2.911e-4	(A) BRCA_Basal
ITGB6	2q24.2	9.35	10.66	2.43	1.53	-1.32	8.072e-5	2.912e-4	(B) BRCA_Normal
ALG2	9q22.33	9.49	9.80	0.47	0.38	-0.31	8.086e-5	2.916e-4	(B) BRCA_Normal
BCL2L14	12p13.2	5.66	4.43	2.32	1.43	1.23	8.093e-5	2.918e-4	(A) BRCA_Basal
BNIP3	10q26.3	9.94	9.38	1.00	0.66	0.56	8.121e-5	2.928e-4	(A) BRCA_Basal
JMJD8	16p13.3	10.20	10.64	0.68	0.54	-0.44	8.130e-5	2.931e-4	(B) BRCA_Normal
C1QTNF3	5p13.2	6.90	8.03	1.60	1.41	-1.13	8.141e-5	2.934e-4	(B) BRCA_Normal
PCDH12	5q31.3	7.96	8.65	0.87	0.88	-0.69	8.151e-5	2.937e-4	(B) BRCA_Normal
STAC	3p22.3-p22.2	7.16	5.84	1.73	1.67	1.32	8.153e-5	2.937e-4	(A) BRCA_Basal
TENM3	4q34.3-q35.1	6.49	7.71	1.92	1.50	-1.22	8.162e-5	2.940e-4	(B) BRCA_Normal
OSR2	8q22.2	6.73	7.69	1.66	1.14	-0.96	8.173e-5	2.943e-4	(B) BRCA_Normal
CIB3	19p13.11	0.37	1.51	0.59	1.53	-1.14	8.173e-5	2.943e-4	(B) BRCA_Normal
DCBLD1	6q22.1	8.81	8.03	0.91	1.01	0.79	8.203e-5	2.953e-4	(A) BRCA_Basal
LIMS3	2q13	2.12	3.05	1.21	1.18	-0.93	8.218e-5	2.958e-4	(B) BRCA_Normal
KCNIP1	5q35.1	2.12	3.02	1.61	1.06	-0.90	8.220e-5	2.958e-4	(B) BRCA_Normal
NOMO2	16p12.3	10.87	10.21	0.87	0.84	0.66	8.243e-5	2.966e-4	(A) BRCA_Basal
FAM223B	Xq28	2.04	2.63	0.81	0.75	-0.60	8.251e-5	2.968e-4	(B) BRCA_Normal
FLJ44635	Xq13.1	3.76	4.69	0.96	1.21	-0.93	8.256e-5	2.970e-4	(B) BRCA_Normal
NAT2	8p22	1.48	2.63	1.26	1.49	-1.15	8.259e-5	2.970e-4	(B) BRCA_Normal
KBTBD12	3q21.3	3.43	2.12	2.67	1.46	1.31	8.266e-5	2.972e-4	(A) BRCA_Basal
HIF1AN	10q24.31	9.90	10.29	0.44	0.50	-0.39	8.269e-5	2.972e-4	(B) BRCA_Normal
IRS2	13q34	8.86	9.62	1.34	0.90	-0.76	8.272e-5	2.973e-4	(B) BRCA_Normal
RNF133	7q31.32	0.81	1.45	0.76	0.83	-0.64	8.276e-5	2.974e-4	(B) BRCA_Normal
UGT2B28	4q13.2	0.32	3.26	1.22	3.94	-2.94	8.283e-5	2.976e-4	(B) BRCA_Normal
MTMR3	22q12.2	10.16	10.52	0.61	0.44	-0.36	8.286e-5	2.976e-4	(B) BRCA_Normal
AKR1C3	10p15.1	7.93	8.82	1.94	0.95	-0.89	8.297e-5	2.980e-4	(B) BRCA_Normal
SNRPB2	20p12.1	10.37	10.00	0.66	0.43	0.37	8.320e-5	2.988e-4	(A) BRCA_Basal
RASEF	9q21.32	6.30	7.49	1.94	1.45	-1.19	8.340e-5	2.994e-4	(B) BRCA_Normal
ZNF615	19q13.41	7.37	7.91	0.80	0.66	-0.53	8.363e-5	3.002e-4	(B) BRCA_Normal
RAB14	9q33.2	11.24	11.52	0.49	0.34	-0.28	8.395e-5	3.013e-4	(B) BRCA_Normal
BTBD19	1p34.1	3.38	4.28	1.24	1.13	-0.90	8.412e-5	3.019e-4	(B) BRCA_Normal
DLX5	7q21.3	5.92	4.44	2.51	1.78	1.48	8.429e-5	3.024e-4	(A) BRCA_Basal
TWNK	10q24.31	8.92	8.45	0.67	0.60	0.48	8.461e-5	3.035e-4	(A) BRCA_Basal
ZSCAN32	16p13.3	8.18	8.39	0.50	0.21	-0.21	8.476e-5	3.040e-4	(B) BRCA_Normal
NRAS	1p13.2	10.81	10.27	1.01	0.63	0.54	8.489e-5	3.044e-4	(A) BRCA_Basal
GALNT2	1q42.13	11.45	10.97	0.62	0.61	0.48	8.496e-5	3.046e-4	(A) BRCA_Basal
NECTIN4	1q23.3	11.01	10.35	1.37	0.73	0.66	8.500e-5	3.047e-4	(A) BRCA_Basal
SOX9	17q24.3	11.81	10.95	0.85	1.12	0.85	8.502e-5	3.047e-4	(A) BRCA_Basal
C8ORF44	8q13.1	5.36	4.92	0.71	0.54	0.44	8.503e-5	3.047e-4	(A) BRCA_Basal
ZBTB24	6q21	8.95	8.60	0.59	0.41	0.34	8.520e-5	3.052e-4	(A) BRCA_Basal
CCL25	19p13.2	1.70	1.05	1.45	0.70	0.65	8.542e-5	3.060e-4	(A) BRCA_Basal
LONP2	16q12.1	10.23	10.71	0.67	0.60	-0.47	8.552e-5	3.063e-4	(B) BRCA_Normal
STARD5	15q25.1	5.91	6.65	1.02	0.94	-0.74	8.561e-5	3.065e-4	(B) BRCA_Normal
TYMSOS	18p11.32	4.87	3.85	1.24	1.32	1.03	8.641e-5	3.094e-4	(A) BRCA_Basal
H3C7	6p22.2	1.13	0.44	0.90	0.89	0.69	8.683e-5	3.108e-4	(A) BRCA_Basal
RPGRIP1	14q11.2	2.95	3.67	1.28	0.85	-0.71	8.699e-5	3.113e-4	(B) BRCA_Normal
GATAD1	7q21.2	9.35	9.70	0.46	0.43	-0.34	8.702e-5	3.114e-4	(B) BRCA_Normal
ZNF496	1q44	8.57	8.13	0.74	0.53	0.44	8.714e-5	3.117e-4	(A) BRCA_Basal
PLP1	Xq22.2	4.12	5.69	3.13	1.77	-1.56	8.741e-5	3.126e-4	(B) BRCA_Normal
ABI3	17q21.32	7.48	8.21	1.09	0.92	-0.73	8.769e-5	3.136e-4	(B) BRCA_Normal
A1BG	19q13.43	6.40	7.19	1.19	0.99	-0.80	8.773e-5	3.137e-4	(B) BRCA_Normal
PEDS1	20q13.13	10.34	9.86	0.64	0.62	0.48	8.791e-5	3.143e-4	(A) BRCA_Basal
METTL25	12q21.31	6.16	6.72	0.70	0.72	-0.56	8.810e-5	3.149e-4	(B) BRCA_Normal
TMEM38B	9q31.2	7.25	6.55	1.02	0.88	0.70	8.812e-5	3.149e-4	(A) BRCA_Basal
ACKR5	12q13.3	0.89	1.64	0.84	0.98	-0.75	8.817e-5	3.150e-4	(B) BRCA_Normal
TM7SF2	11q13.1	7.46	8.57	1.38	1.43	-1.12	8.822e-5	3.151e-4	(B) BRCA_Normal
PTPRZ1	7q31.32	5.42	7.08	3.30	1.88	-1.65	8.825e-5	3.152e-4	(B) BRCA_Normal
ZNF331	19q13.42	8.50	8.99	0.76	0.60	-0.49	8.828e-5	3.152e-4	(B) BRCA_Normal
KLHDC7B	22q13.33	8.29	6.86	2.62	1.69	1.43	8.855e-5	3.162e-4	(A) BRCA_Basal
TMEM161B	5q14.3	7.23	7.64	0.67	0.50	-0.41	8.887e-5	3.172e-4	(B) BRCA_Normal
TBC1D2	9q22.33	8.39	9.08	0.90	0.89	-0.69	8.892e-5	3.173e-4	(B) BRCA_Normal
PELP1	17p13.2	10.77	10.38	0.59	0.50	0.40	8.900e-5	3.176e-4	(A) BRCA_Basal
EFHB	3p24.3	1.74	2.65	1.16	1.17	-0.91	8.916e-5	3.181e-4	(B) BRCA_Normal
CUTA	6p21.32	11.61	11.17	0.62	0.56	0.44	8.922e-5	3.183e-4	(A) BRCA_Basal
GLRA4	Xq22.2	0.24	1.22	0.42	1.32	-0.98	8.927e-5	3.184e-4	(B) BRCA_Normal
TPM1	15q22.2	12.41	12.94	1.04	0.62	-0.54	8.929e-5	3.184e-4	(B) BRCA_Normal
JADE3	Xp11.3	9.28	8.77	0.79	0.63	0.51	8.933e-5	3.185e-4	(A) BRCA_Basal
SUN3	7p12.3	0.72	0.19	1.27	0.51	0.52	8.956e-5	3.193e-4	(A) BRCA_Basal
LETM2	8p11.23	4.25	5.00	1.12	0.94	-0.75	8.961e-5	3.194e-4	(B) BRCA_Normal
SP2	17q21.32	9.03	9.32	0.41	0.37	-0.29	8.981e-5	3.200e-4	(B) BRCA_Normal
AP4M1	7q22.1	8.98	8.57	0.62	0.52	0.41	8.986e-5	3.201e-4	(A) BRCA_Basal
PLCD4	2q35	5.97	6.56	0.75	0.76	-0.59	8.991e-5	3.203e-4	(B) BRCA_Normal
ASCL4	12q23.3	0.43	1.22	0.76	1.04	-0.79	8.998e-5	3.204e-4	(B) BRCA_Normal
IER3	6p21.33	10.24	11.06	1.26	1.02	-0.82	8.999e-5	3.204e-4	(B) BRCA_Normal
TREML1	6p21.1	1.50	2.31	1.06	1.03	-0.81	9.054e-5	3.224e-4	(B) BRCA_Normal
PPP1R16B	20q11.23	7.39	8.39	1.58	1.22	-0.99	9.058e-5	3.224e-4	(B) BRCA_Normal
BMPR2	2q33.1-q33.2	11.02	11.50	0.75	0.60	-0.48	9.059e-5	3.224e-4	(B) BRCA_Normal
RNF128	Xq22.3	5.93	7.05	1.94	1.34	-1.11	9.076e-5	3.229e-4	(B) BRCA_Normal
HMGN3	6q14.1	10.35	9.93	0.68	0.53	0.43	9.077e-5	3.229e-4	(A) BRCA_Basal
MCF2L	13q34	9.04	9.59	1.06	0.63	-0.55	9.090e-5	3.233e-4	(B) BRCA_Normal
MAG	19q13.1	0.70	2.09	1.03	1.85	-1.39	9.102e-5	3.237e-4	(B) BRCA_Normal
UBE2I	16p13.3	11.23	10.97	0.46	0.31	0.26	9.134e-5	3.248e-4	(A) BRCA_Basal
DLX4	17q21.33	4.77	3.64	1.54	1.44	1.13	9.137e-5	3.248e-4	(A) BRCA_Basal
POLR3F	20p11.23	8.33	8.02	0.56	0.37	0.31	9.143e-5	3.250e-4	(A) BRCA_Basal
NR4A2	2q24.1	7.38	8.52	1.26	1.49	-1.14	9.144e-5	3.250e-4	(B) BRCA_Normal
HLA-F-AS1	6p22.1	4.57	5.20	1.19	0.73	-0.63	9.197e-5	3.268e-4	(B) BRCA_Normal
COX7A2L	2p21	10.99	10.75	0.42	0.29	0.24	9.238e-5	3.281e-4	(A) BRCA_Basal
ZFHX3	16q22.2-q22.3	8.93	9.45	1.00	0.61	-0.52	9.238e-5	3.281e-4	(B) BRCA_Normal
LINC02716	11p11.2	1.26	2.22	1.11	1.25	-0.96	9.241e-5	3.282e-4	(B) BRCA_Normal
FAM227B	15q21.2	4.06	4.64	0.82	0.72	-0.57	9.257e-5	3.287e-4	(B) BRCA_Normal
AKIRIN1	1p34.3	10.54	10.19	0.58	0.43	0.35	9.288e-5	3.297e-4	(A) BRCA_Basal
BMP3	4q21.21	1.58	3.13	1.71	2.03	-1.55	9.289e-5	3.297e-4	(B) BRCA_Normal
TWIST1	7p21.1	6.61	7.62	1.42	1.28	-1.01	9.302e-5	3.301e-4	(B) BRCA_Normal
PEAK1	15q24.3	9.77	10.34	0.73	0.73	-0.57	9.310e-5	3.303e-4	(B) BRCA_Normal
PLN	6q22.31	4.95	6.28	1.48	1.75	-1.34	9.350e-5	3.317e-4	(B) BRCA_Normal
ADPRM	17p13.1	6.83	7.20	0.54	0.46	-0.36	9.368e-5	3.323e-4	(B) BRCA_Normal
DPP4	2q24.2	7.01	8.31	1.62	1.68	-1.30	9.374e-5	3.324e-4	(B) BRCA_Normal
PRB4	12p13.2	0.39	0.05	1.06	0.16	0.34	9.382e-5	3.327e-4	(A) BRCA_Basal
GPT2	16q11.2	10.62	9.83	0.99	1.02	0.79	9.394e-5	3.330e-4	(A) BRCA_Basal
POLR2G	11q12.3	10.23	9.92	0.49	0.38	0.31	9.410e-5	3.335e-4	(A) BRCA_Basal
DDX59	1q32.1	8.93	8.62	0.57	0.36	0.30	9.411e-5	3.335e-4	(A) BRCA_Basal
REPS2	Xp22.2	8.18	8.82	0.94	0.81	-0.64	9.413e-5	3.335e-4	(B) BRCA_Normal
AVIL	12q14.1	4.84	5.48	1.23	0.74	-0.64	9.414e-5	3.335e-4	(B) BRCA_Normal
RABL3	3q13.33	8.80	9.24	0.52	0.57	-0.44	9.418e-5	3.336e-4	(B) BRCA_Normal
EXOSC5	19q13.2	9.11	8.57	0.83	0.68	0.54	9.435e-5	3.341e-4	(A) BRCA_Basal
CHCHD5	2q14.1	7.59	8.20	0.80	0.79	-0.61	9.438e-5	3.341e-4	(B) BRCA_Normal
FBXO28	1q42.11	10.46	10.10	0.58	0.45	0.36	9.439e-5	3.341e-4	(A) BRCA_Basal
CSRNP3	2q24.3	2.40	3.61	1.68	1.54	-1.21	9.459e-5	3.348e-4	(B) BRCA_Normal
TSPAN13	7p21.1	10.76	11.56	0.83	1.05	-0.80	9.518e-5	3.368e-4	(B) BRCA_Normal
