drug_claim_name	nomenclature	concept_id	drug_name	approved	immunotherapy	anti_neoplastic	source_db_name	source_db_version
6-(DIFLUORO-PHOSPHONO-METHYL)-NAPHTHALENE-2-CARBOXYLIC ACID	Primary Name	drugbank:DB08397	6-(DIFLUORO-PHOSPHONO-METHYL)-NAPHTHALENE-2-CARBOXYLIC ACID	FALSE	FALSE	FALSE	DrugBank	5.1.12
Platensimycin	Primary Name	drugbank:DB08407	PLATENSIMYCIN	FALSE	FALSE	FALSE	DrugBank	5.1.12
(1S)-1-(PHENOXYMETHYL)PROPYL METHYLPHOSPHONOCHLORIDOATE	Primary Name	drugbank:DB08419	(1S)-1-(PHENOXYMETHYL)PROPYL METHYLPHOSPHONOCHLORIDOATE	FALSE	FALSE	FALSE	DrugBank	5.1.12
Prephenic acid	Primary Name	drugbank:DB08427	PREPHENIC ACID	FALSE	FALSE	FALSE	DrugBank	5.1.12
3(S)-AMINO-4-PHENYL-BUTAN-2(S)-OL	Primary Name	drugbank:DB08428	3(S)-AMINO-4-PHENYL-BUTAN-2(S)-OL	FALSE	FALSE	FALSE	DrugBank	5.1.12
1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine	Primary Name	drugbank:DB08363	1-(9-ETHYL-9H-CARBAZOL-3-YL)-N-METHYLMETHANAMINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
1-{[(1E)-(3-HYDROXY-2-METHYL-5-{[(TRIHYDROXY-LAMBDA^5^-PHOSPHANYL)OXY]METHYL}PYRIDIN-4-YL)METHYLIDENE]AMINO}UNDECAN-2-ONE	Primary Name	drugbank:DB08364	1-{[(1E)-(3-HYDROXY-2-METHYL-5-{[(TRIHYDROXY-LAMBDA^5^-PHOSPHANYL)OXY]METHYL}PYRIDIN-4-YL)METHYLIDENE]AMINO}UNDECAN-2-ONE	FALSE	FALSE	FALSE	DrugBank	5.1.12
8-bromo-4-(2-chlorophenyl)-N-(2-hydroxyethyl)-6-methyl-1,3-dioxo-1,2,3,6-tetrahydropyrrolo[3,4-e]indole-7-carboxamide	Primary Name	drugbank:DB08365	8-BROMO-4-(2-CHLOROPHENYL)-N-(2-HYDROXYETHYL)-6-METHYL-1,3-DIOXO-1,2,3,6-TETRAHYDROPYRROLO[3,4-E]INDOLE-7-CARBOXAMIDE	FALSE	FALSE	FALSE	DrugBank	5.1.12
2-({4-[4-(pyridin-4-ylmethyl)-1H-pyrazol-3-yl]phenoxy}methyl)quinoline	Primary Name	drugbank:DB08384	2-({4-[4-(PYRIDIN-4-YLMETHYL)-1H-PYRAZOL-3-YL]PHENOXY}METHYL)QUINOLINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
PARA-NITROPHENYLPHOSPHONOBUTANOYL-GLYCINE	Primary Name	drugbank:DB08394	PARA-NITROPHENYLPHOSPHONOBUTANOYL-GLYCINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
2-(ETHOXYMETHYL)-4-(4-FLUOROPHENYL)-3-[2-(2-HYDROXYPHENOXY)PYRIMIDIN-4-YL]ISOXAZOL-5(2H)-ONE	Primary Name	drugbank:DB08395	2-(ETHOXYMETHYL)-4-(4-FLUOROPHENYL)-3-[2-(2-HYDROXYPHENOXY)PYRIMIDIN-4-YL]ISOXAZOL-5(2H)-ONE	FALSE	FALSE	FALSE	DrugBank	5.1.12
4-NITRO-BENZYLPHOSPHONOBUTANOYL-GLYCINE	Primary Name	drugbank:DB08409	4-NITRO-BENZYLPHOSPHONOBUTANOYL-GLYCINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
NSC-28620	Primary Name	chembl:CHEMBL1414990	CHEMBL:CHEMBL1414990	FALSE	FALSE	FALSE	DTC	9/2/20
4,4'-BIS([H]METHYLSULFONYL)-2,2',5,5'-TETRACHLOROBIPHENYL	Primary Name	drugbank:DB08373	4,4'-BIS([H]METHYLSULFONYL)-2,2',5,5'-TETRACHLOROBIPHENYL	FALSE	FALSE	FALSE	DrugBank	5.1.12
6,7-DIMETHOXY-4-[(3R)-3-(2-NAPHTHYLOXY)PYRROLIDIN-1-YL]QUINAZOLINE	Primary Name	drugbank:DB08389	6,7-DIMETHOXY-4-[(3R)-3-(2-NAPHTHYLOXY)PYRROLIDIN-1-YL]QUINAZOLINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
N-1,10-phenanthrolin-5-ylacetamide	Primary Name	drugbank:DB08440	N-1,10-PHENANTHROLIN-5-YLACETAMIDE	FALSE	FALSE	FALSE	DrugBank	5.1.12
2-(1H-pyrrol-1-ylcarbonyl)benzene-1,3,5-triol	Primary Name	drugbank:DB08443	2-(1H-PYRROL-1-YLCARBONYL)BENZENE-1,3,5-TRIOL	FALSE	FALSE	FALSE	DrugBank	5.1.12
N-(QUINOLIN-8-YL)METHANESULFONAMIDE	Primary Name	drugbank:DB08451	N-(QUINOLIN-8-YL)METHANESULFONAMIDE	FALSE	FALSE	FALSE	DrugBank	5.1.12
N-(5-METHYL-1H-PYRAZOL-3-YL)-2-PHENYLQUINAZOLIN-4-AMINE	Primary Name	drugbank:DB08454	N-(5-METHYL-1H-PYRAZOL-3-YL)-2-PHENYLQUINAZOLIN-4-AMINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
Ibrutinib	Primary Name	rxcui:1442981	IBRUTINIB	TRUE	FALSE	TRUE	CGI	2/1/22
CEDIRANIB	Primary Name	ncit:C80867	CEDIRANIB	FALSE	FALSE	TRUE	TdgClinicalTrial	Jan-14
CHLORTHALIDONE	Primary Name	rxcui:2409	CHLORTHALIDONE	TRUE	FALSE	FALSE	TEND	1-Aug-11
QUINIDINE	Primary Name	rxcui:9068	QUINIDINE	TRUE	FALSE	FALSE	TdgClinicalTrial	Jan-14
ISOSORBIDE-5-MONONITRATE	Primary Name	rxcui:28004	ISOSORBIDE MONONITRATE	TRUE	FALSE	FALSE	TdgClinicalTrial	Jan-14
PENTOBARBITAL	Primary Name	rxcui:203085	PENTOBARBITAL SODIUM	TRUE	FALSE	FALSE	TdgClinicalTrial	Jan-14
ZONISAMIDE	Primary Name	rxcui:39998	ZONISAMIDE	TRUE	FALSE	FALSE	TEND	1-Aug-11
TOLTERODINE	Primary Name	rxcui:119565	TOLTERODINE	TRUE	FALSE	FALSE	TEND	1-Aug-11
INDOMETHACIN	Primary Name	rxcui:5781	INDOMETHACIN	TRUE	FALSE	FALSE	TEND	1-Aug-11
N-({(2S)-1-[(3R)-3-amino-4-(3-chlorophenyl)butanoyl]pyrrolidin-2-yl}methyl)-3-(methylsulfonyl)benzamide	Primary Name	drugbank:DB08429	N-({(2S)-1-[(3R)-3-AMINO-4-(3-CHLOROPHENYL)BUTANOYL]PYRROLIDIN-2-YL}METHYL)-3-(METHYLSULFONYL)BENZAMIDE	FALSE	FALSE	FALSE	DrugBank	5.1.12
THYMIDINE-5'-THIOPHOSPHATE	Primary Name	drugbank:DB08432	THYMIDINE-5'-THIOPHOSPHATE	FALSE	FALSE	FALSE	DrugBank	5.1.12
2-METHYLCARBAMOYL-3-(4-PHOSPHONOOXY-PHENYL)-CYCLOPROPANECARBOXYLIC ACID	Primary Name	drugbank:DB08434	2-METHYLCARBAMOYL-3-(4-PHOSPHONOOXY-PHENYL)-CYCLOPROPANECARBOXYLIC ACID	FALSE	FALSE	FALSE	DrugBank	5.1.12
8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-	Primary Name	drugbank:DB08436	8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-	FALSE	FALSE	FALSE	DrugBank	5.1.12
(3R,4S)-1-[6-(6-METHOXYPYRIDIN-3-YL)PYRIMIDIN-4-YL]-4-(2,4,5-TRIFLUOROPHENYL)PYRROLIDIN-3-AMINE	Primary Name	drugbank:DB08445	(3R,4S)-1-[6-(6-METHOXYPYRIDIN-3-YL)PYRIMIDIN-4-YL]-4-(2,4,5-TRIFLUOROPHENYL)PYRROLIDIN-3-AMINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
